r(x_rel=0)	t=0	t=1000	t=2000	t=3000	t=4000	t=5000	t=6000	t=7000	t=8000	t=9000	t=10000	t=11000	t=12000	t=13000	t=14000	t=15000	t=16000	t=17000	t=18000	t=19000	t=20000	t=21000	t=22000	t=23000	t=24000	t=25000	t=26000	t=27000	t=28000	t=29000	t=30000	t=31000	t=32000	t=33000	t=34000	t=35000	t=36000	t=37000	t=38000	t=39000	t=40000	t=41000	t=42000	t=43000	t=44000	t=45000	t=46000	t=47000	t=48000	t=49000	t=50000	t=51000	t=52000	t=53000	t=54000	t=55000	t=56000	t=57000	t=58000	t=59000	t=60000	t=61000	t=62000	t=63000	t=64000	t=65000	t=66000	t=67000	t=68000	t=69000	t=70000	t=71000	t=72000	t=73000	t=74000	t=75000	t=76000	t=77000	t=78000	t=79000	t=80000	t=81000	t=82000	t=83000	t=84000	t=85000	t=86000	t=87000	t=88000	t=89000	t=90000	t=91000	t=92000	t=93000	t=94000	t=95000	t=96000	t=97000	t=98000	t=99000	t=100000	t=101000	t=102000	t=103000	t=104000	t=105000	t=106000	t=107000	t=108000	t=109000	t=110000	t=111000	t=112000	t=113000	t=114000	t=115000	t=116000	t=117000	t=118000	t=119000	t=120000	t=121000	t=122000	t=123000	t=124000	t=125000	t=126000	t=127000	t=128000	t=129000	t=130000	t=131000	t=132000	t=133000	t=134000	t=135000	t=136000	t=137000	t=138000	t=139000	t=140000	t=141000	t=142000	t=143000	t=144000
0	47023.3	47023.3	47023.3	47023.3	47023.3	47023.2	47022.8	47020.9	47015.7	47005	46986.2	46956.5	46912.2	46848.5	46757.3	46623.1	46410.2	46005.3	44214.5	41245.3	40202	39534.3	39007.4	38550.4	38131.9	37735.2	37349.6	36967.2	36580.8	36183.4	35767.4	35324.5	34846.3	34326	33763.3	33168.8	32564.8	31975.5	31415.9	30889	30390.7	29914.8	29456.2	29010.9	28575.9	28149	27728.2	27311.5	26897.1	26482.7	26066.1	25644.9	25217.2	24781.2	24336.5	23883.7	23424.9	22963.5	22503.3	22047.7	21599.5	21160.6	20732.4	20316.2	19913.4	19525.6	19154.6	18801.8	18468.4	18155.2	17864	17595.9	17348.1	17116.9	16903.3	16747	16736	16982.5	17532.3	18214.2	18842.6	19390.3	19884.9	20348.8	20793.6	21225	21646.4	22060.3	22468.6	22873.5	23277	23681.3	24088.7	24501.4	24920.9	25348.4	25783.8	26225.8	26672.3	27120.4	27567.2	28010	28446.7	28875.8	29296.3	29707.3	30108.2	30498.7	30878.4	31247.4	31606.4	31956.1	32297.9	32633.8	32966.1	33297.3	33630.8	33970	34319	34682.2	35064.3	35469.4	35900.6	36358.1	36837.5	37329.5	37821.4	38300.6	38757.7	39187.4	39587.5	39957.6	40298.6	40611.7	40898.5	41160.9	41401.2	41621.9	41825.6	42014.8	42191.8	42358.9	42517.9	42670.7	42819
0.18	47023.3	47023.3	47023.3	47023.3	47023.3	47023.2	47022.6	47020.2	47014.3	47002.4	46981.8	46949.6	46902.1	46833.6	46734.8	46586.8	46342.3	45824.6	43695	41195	40180.6	39519.6	38995.3	38539.4	38121.3	37724.6	37338.8	36956	36569	36170.8	35753.9	35310.1	34831.1	34310.5	33748.3	33155.3	32553.3	31966.2	31408.4	30882.8	30385.3	29910.1	29451.8	29006.7	28571.9	28145	27724.2	27307.5	26892.9	26478.3	26061.6	25640.3	25212.4	24776.4	24331.7	23879	23420.4	22959.3	22499.4	22044.1	21596.1	21157.3	20729.2	20313	19910.1	19522.1	19150.9	18797.8	18464	18150.4	17858.9	17590.5	17342.2	17110.6	16897.1	16743.6	16739.7	16994.9	17546.6	18224.3	18849.3	19395.2	19888.9	20352.4	20796.9	21228.2	21649.6	22063.6	22472.1	22877.1	23280.8	23685.3	24093	24505.9	24925.6	25353.2	25788.5	26230.5	26676.9	27124.9	27571.5	28014.1	28450.7	28879.8	29300.2	29711.3	30112.4	30503	30882.9	31252.3	31611.5	31961.6	32304	32640.4	32973.2	33305.1	33639.2	33979.3	34329.2	34693.4	35076.5	35482.5	35914.5	36372.5	36851.9	37343.4	37834.5	38312.7	38768.9	39197.8	39597.3	39967.1	40307.8	40620.7	40907.4	41169.7	41410.1	41630.8	41834.5	42023.8	42201	42368.3	42527.7	42680.9	42829.7
0.36	47023.3	47023.3	47023.3	47023.3	47023.3	47023.2	47022.4	47019.6	47012.8	46999.6	46977.2	46942.6	46891.6	46818.1	46711.2	46548	46267.3	45614.3	43319.7	41146.7	40159.5	39505	38983.3	38528.4	38110.7	37714.1	37328.1	36944.7	36557.1	36158.2	35740.4	35295.7	34815.9	34295.1	33733.3	33141.8	32541.9	31956.9	31400.9	30876.6	30380	29905.4	29447.5	29002.6	28567.9	28141	27720.2	27303.4	26888.7	26474	26057.1	25635.6	25207.7	24771.6	24327	23874.3	23416	22955.1	22495.5	22040.4	21592.7	21154	20726	20309.7	19906.8	19518.7	19147.2	18793.8	18459.6	18145.6	17853.8	17585	17336.4	17104.3	16890.9	16740.4	16743.5	17007.3	17560.9	18234.4	18855.9	19400	19892.9	20355.9	20800.2	21231.4	21652.9	22066.9	22475.5	22880.7	23284.6	23689.4	24097.3	24510.3	24930.2	25357.9	25793.3	26235.3	26681.6	27129.4	27575.8	28018.2	28454.7	28883.7	29304.2	29715.3	30116.5	30507.3	30887.5	31257.1	31616.7	31967.2	32310	32646.9	32980.3	33312.8	33647.7	33988.6	34339.4	34704.6	35088.7	35495.7	35928.5	36386.9	36866.3	37357.3	37847.4	38324.7	38780	39208.2	39607.1	39976.5	40317	40629.7	40916.3	41178.6	41418.9	41639.6	41843.4	42032.9	42210.3	42377.8	42537.6	42691.2	42840.5
0.54	47023.3	47023.3	47023.3	47023.3	47023.3	47023.1	47022	47018.5	47010.5	46995.3	46970.3	46932.1	46876	46794.9	46675.4	46487.8	46145.2	45261.4	42942.7	41082.5	40130.3	39484.7	38966.4	38513	38095.9	37699.3	37312.9	36929	36540.5	36140.5	35721.5	35275.5	34794.7	34273.5	33712.5	33123	32526.1	31944.1	31390.5	30868	30372.6	29898.8	29441.4	28996.9	28562.3	28135.5	27714.6	27297.6	26882.8	26467.9	26050.7	25629.1	25201	24764.9	24320.3	23867.8	23409.7	22949.2	22490	22035.3	21587.9	21149.5	20721.5	20305.2	19902.1	19513.8	19141.9	18788.1	18453.5	18138.9	17846.5	17577.2	17328.1	17095.5	16882.3	16735.9	16749.2	17024.7	17580.5	18248.3	18865.2	19406.8	19898.5	20360.8	20804.8	21235.9	21657.4	22071.6	22480.4	22885.8	23290	23695.1	24103.3	24516.6	24936.7	25364.6	25800	26241.9	26688	27135.6	27581.8	28024	28460.4	28889.3	29309.7	29721	30122.3	30513.4	30893.9	31263.9	31624	31975.1	32318.5	32656.1	32990.3	33323.7	33659.7	34001.7	34353.8	34720.4	35105.8	35514.2	35948.1	36407.1	36886.4	37376.6	37865.6	38341.5	38795.5	39222.7	39620.9	39989.8	40329.9	40642.4	40928.8	41191	41431.3	41652.1	41856	42045.6	42223.3	42391.2	42551.5	42705.8	42855.9
0.72	47023.3	47023.3	47023.3	47023.3	47023.3	47022.9	47021.4	47016.8	47007	46989.2	46960.4	46917	46853.6	46761.3	46622.7	46395.9	45947	44733.5	42587.3	41002.7	40092.3	39458	38944.1	38492.6	38076.3	37679.7	37292.8	36908	36518.3	36116.9	35696.3	35248.7	34766.6	34245	33685.1	33098.4	32505.3	31927.1	31376.7	30856.6	30362.8	29890	29433.4	28989.2	28554.8	28128.1	27707.1	27290	26875	26459.8	26042.4	25620.5	25192.2	24756	24311.4	23859.2	23401.5	22941.5	22482.8	22028.6	21581.5	21143.4	20715.5	20299.3	19896	19507.3	19135	18780.6	18445.2	18129.9	17836.9	17566.9	17317.1	17083.6	16870.8	16730.4	16757.3	17047.8	17606.2	18266.6	18877.4	19415.8	19905.8	20367.4	20810.9	21241.9	21663.4	22077.7	22486.8	22892.6	23297.1	23702.6	24111.2	24524.9	24945.4	25373.4	25808.9	26250.7	26696.6	27143.9	27589.8	28031.7	28467.8	28896.6	29317.1	29728.4	30130	30521.4	30902.4	31273	31633.7	31985.5	32329.8	32668.4	33003.6	33338.3	33675.6	34019.1	34372.9	34741.3	35128.7	35538.8	35974.1	36433.8	36912.9	37402.2	37889.6	38363.7	38816.1	39242	39639.2	40007.3	40347	40659.2	40945.5	41207.6	41447.9	41668.7	41872.8	42062.7	42240.7	42409.2	42570.1	42725.3	42876.5
0.9	47023.3	47023.3	47023.3	47023.3	47023.2	47022.7	47020.4	47014.4	47002	46980.6	46946.7	46896.2	46822.5	46714.1	46546.6	46256.6	45629.1	44100.7	42264.8	40909.8	40045.7	39424.7	38916.2	38467	38051.5	37654.9	37267.4	36881.6	36490.4	36087.2	35664.5	35214.9	34731.3	34209.3	33651	33067.8	32479.4	31906	31359.6	30842.3	30350.5	29879.1	29423.3	28979.6	28545.5	28118.8	27697.8	27280.5	26865.1	26449.6	26031.9	25609.7	25181.1	24744.8	24300.3	23848.4	23391.2	22931.8	22473.7	22020.1	21573.6	21135.7	20708	20291.7	19888.2	19499.2	19126.3	18771.1	18434.9	18118.6	17824.7	17553.8	17303	17068.6	16856.3	16724	16768.2	17077	17637.8	18289.1	18892.5	19427	19915.1	20375.6	20818.6	21249.4	21671	22085.5	22494.9	22901.1	23306.1	23712.1	24121.2	24535.4	24956.2	25384.4	25820	26261.7	26707.3	27154.3	27599.8	28041.4	28477.2	28905.9	29326.4	29737.8	30139.7	30531.5	30913.1	31284.4	31645.9	31998.7	32344	32683.9	33020.5	33356.7	33695.7	34041.2	34397.1	34767.8	35157.5	35569.8	36006.7	36467.3	36946.2	37434.1	37919.5	38391.5	38841.9	39266.1	39662.1	40029.5	40368.6	40680.5	40966.5	41228.6	41468.9	41689.8	41894.1	42084.3	42262.9	42432	42593.8	42750.2	42902.9
1.08	47023.3	47023.3	47023.3	47023.3	47023.2	47022.3	47018.9	47010.8	46995	46968.7	46928	46867.9	46780	46648.3	46436.7	46043.9	45146.3	43491.4	41975.1	40806.6	39990.9	39385	38882.6	38436.1	38021.6	37624.9	37236.7	36849.4	36456.5	36051.1	35626	35174.1	34688.8	34166.6	33610.2	33031.3	32448.6	31880.9	31339.1	30825.2	30335.8	29865.9	29411.1	28968.1	28534.2	28107.6	27686.5	27268.9	26853.2	26437.3	26019.1	25596.6	25167.7	24731.3	24286.9	23835.3	23378.7	22920	22462.8	22009.9	21564	21126.5	20699	20282.7	19878.9	19489.3	19115.6	18759.6	18422.2	18104.8	17809.8	17537.9	17285.9	17050.2	16839	16717.1	16782.7	17112.2	17675	18315.7	18910.5	19440.5	19926.2	20385.5	20827.9	21258.5	21680.1	22094.9	22504.7	22911.4	23317	23723.6	24133.3	24548.1	24969.3	25397.8	25833.5	26275	26720.3	27166.8	27611.8	28053	28488.6	28917.1	29337.6	29749.2	30151.5	30543.8	30926	31298.2	31660.8	32014.7	32361.4	32702.7	33041	33379.1	33720.3	34068.1	34426.6	34800.1	35192.5	35607.4	36046.2	36507.7	36986.2	37472.5	37955.5	38424.8	38872.9	39295.2	39689.9	40056.2	40394.7	40706.3	40992.1	41254.1	41494.4	41715.5	41920.1	42110.8	42290	42460.1	42623	42780.9	42935.5
1.26	47023.3	47023.3	47023.3	47023.3	47023.1	47021.6	47016.6	47005.6	46985.3	46952.5	46902.8	46829.8	46722.1	46556.4	46276.1	45716.8	44517.4	42969	41714.1	40695.9	39928.7	39339	38843.4	38399.9	37986.4	37589.5	37200.3	36811.5	36416.5	36008.5	35580.7	35126.2	34639.1	34116.9	33563	32989.1	32413.1	31851.8	31315.2	30805.3	30318.6	29850.5	29396.8	28954.5	28521	28094.5	27673.2	27255.4	26839.2	26422.9	26004.2	25581.2	25152	24715.5	24271.2	23820.1	23364.1	22906.3	22450	21998	21552.7	21115.7	20688.4	20272	19867.8	19477.6	19103.1	18745.9	18407.3	18088.4	17792.1	17518.9	17265.5	17028.2	16818.7	16710.2	16801.4	17153.4	17717.3	18346.1	18931.4	19456.1	19939.2	20397.1	20838.8	21269.2	21690.9	22105.9	22516.2	22923.5	23329.8	23737.2	24147.6	24563	24984.7	25413.5	25849.2	26290.6	26735.5	27181.5	27626	28066.7	28501.8	28930.2	29350.7	29762.6	30165.3	30558.3	30941.3	31314.6	31678.4	32033.7	32381.9	32725	33065.3	33405.7	33749.3	34100	34461.5	34838.2	35233.9	35651.6	36092.6	36554.9	37032.8	37517.2	37997.4	38463.8	38909.2	39329.4	39722.4	40087.8	40425.6	40736.8	41022.4	41284.4	41524.8	41746.1	41951.1	42142.3	42322.4	42493.6	42658	42817.8	42974.8
1.44	47023.3	47023.3	47023.3	47023.3	47022.8	47020.3	47013.2	46998.1	46971.9	46930.6	46869	46778.5	46642.8	46426.1	46036.4	45232.4	43860	42533.2	41476.9	40579.7	39859.5	39286.9	38798.6	38358.3	37945.8	37548.7	37158.4	36767.7	36370.2	35959.3	35528.4	35071.2	34582.3	34060.3	33509.5	32941.6	32372.9	31818.8	31288.2	30782.6	30298.9	29832.8	29380.5	28938.9	28505.8	28079.4	27657.9	27239.7	26823.1	26406.2	25987	25563.5	25133.9	24697.3	24253.2	23802.6	23347.4	22890.6	22435.3	21984.3	21539.8	21103.3	20676.2	20259.7	19855.1	19464.2	19088.6	18730.1	18389.9	18069.4	17771.5	17496.8	17241.7	17002.6	16795.6	16704	16824.9	17200.6	17764.3	18380.1	18955	19473.9	19954	20410.3	20851.4	21281.4	21703.2	22118.6	22529.4	22937.5	23344.6	23752.7	24164	24580.1	25002.4	25431.6	25867.3	26308.4	26752.9	27198.3	27642.2	28082.3	28517.1	28945.3	29365.8	29778	30181.2	30575	30959	31333.4	31698.7	32055.6	32405.7	32750.9	33093.6	33436.5	33783.1	34137	34502.1	34882.4	35281.7	35702.6	36145.9	36609	37086.1	37568.2	38045.2	38508.2	38950.7	39368.5	39759.9	40124.1	40461.3	40772.1	41057.6	41319.5	41560.1	41781.7	41987.2	42179.3	42360.4	42533	42699.3	42861.4	43021.5
1.62	47023.3	47023.3	47023.3	47023.2	47022.4	47018.4	47007.9	46987.5	46953.4	46901	46823.6	46708.9	46532.5	46237	45676.1	44606	43275.9	42165.9	41259.1	40459.7	39784	39228.9	38748.2	38311.3	37899.8	37502.3	37110.6	36717.7	36317.4	35903.3	35469.1	35008.9	34518.5	33997.2	33450.3	32889	32328.5	31782.3	31258.1	30757.2	30276.8	29813	29362.1	28921.4	28488.7	28062.3	27640.6	27222	26804.9	26387.4	25967.5	25543.4	25113.5	24676.7	24232.9	23782.8	23328.6	22873	22418.8	21968.9	21525.2	21089.3	20662.4	20245.7	19840.7	19448.9	19072.1	18712.1	18370	18047.5	17747.9	17471.4	17214.3	16973.1	16769.8	16699.2	16853.9	17253.4	17815.5	18417.4	18981.1	19493.8	19970.6	20425.3	20865.5	21295.3	21717.2	22133	22544.5	22953.3	23361.3	23770.4	24182.6	24599.5	25022.4	25452	25887.7	26328.6	26772.6	27217.3	27660.4	28100	28534.4	28962.3	29382.9	29795.4	30199.3	30593.9	30979.1	31355	31721.8	32080.7	32432.9	32780.5	33125.9	33471.9	33821.8	34179.4	34548.5	34932.9	35336.2	35760.5	36206.1	36669.9	37145.8	37625.2	38098.7	38558.1	38997.4	39412.7	39802.3	40165.4	40501.9	40812.3	41097.8	41359.8	41600.6	41822.6	42028.8	42221.9	42404.4	42578.8	42747.4	42912.5	43076.5
