r(x_rel=0.5)	t=0	t=1000	t=2000	t=3000	t=4000	t=5000	t=6000	t=7000	t=8000	t=9000	t=10000	t=11000	t=12000	t=13000	t=14000	t=15000	t=16000	t=17000	t=18000	t=19000	t=20000	t=21000	t=22000	t=23000	t=24000	t=25000	t=26000	t=27000	t=28000	t=29000	t=30000	t=31000	t=32000	t=33000	t=34000	t=35000	t=36000	t=37000	t=38000	t=39000	t=40000	t=41000	t=42000	t=43000	t=44000	t=45000	t=46000	t=47000	t=48000	t=49000	t=50000	t=51000	t=52000	t=53000	t=54000	t=55000	t=56000	t=57000	t=58000	t=59000	t=60000	t=61000	t=62000	t=63000	t=64000	t=65000	t=66000	t=67000	t=68000	t=69000	t=70000	t=71000	t=72000	t=73000	t=74000	t=75000	t=76000	t=77000	t=78000	t=79000	t=80000	t=81000	t=82000	t=83000	t=84000	t=85000	t=86000	t=87000	t=88000	t=89000	t=90000	t=91000	t=92000	t=93000	t=94000	t=95000	t=96000	t=97000	t=98000	t=99000	t=100000	t=101000	t=102000	t=103000	t=104000	t=105000	t=106000	t=107000	t=108000	t=109000	t=110000	t=111000	t=112000	t=113000	t=114000	t=115000	t=116000	t=117000	t=118000	t=119000	t=120000	t=121000	t=122000	t=123000	t=124000	t=125000	t=126000	t=127000	t=128000	t=129000	t=130000	t=131000	t=132000	t=133000	t=134000	t=135000	t=136000	t=137000	t=138000	t=139000	t=140000	t=141000	t=142000	t=143000	t=144000
0	47023.3	47023.3	47023.3	47023.3	47023.3	47023.2	47022.8	47020.9	47015.9	47005.4	46987	46957.9	46914.8	46853	46765.1	46637	46436.8	46069.1	44741.3	41446.7	40308	39610.5	39069.3	38603.8	38179.9	37779.6	37391.8	37008.3	36621.8	36225.4	35811.4	35371.6	34897.5	34381.8	33823	33230.1	32624	32029.5	31463.2	30929.5	30425.3	29944.9	29482.9	29035.3	28599	28171.5	27750.8	27334.6	26921.1	26507.9	26092.6	25673	25246.7	24812.1	24368.3	23915.9	23456.9	22994.6	22532.9	22075.5	21625.3	21184.5	20754.7	20337.2	19933.7	19545.7	19175	18823.6	18492.8	18183.3	17894.6	17625.5	17374.4	17139.6	16922.9	16761.5	16734.4	16949.4	17471.3	18153.4	18794.6	19353.1	19854.6	20322.4	20769.1	21201.3	21622.8	22036.4	22444.2	22848.3	23251	23654.4	24060.9	24472.7	24891.6	25318.7	25754.1	26196.6	26644.1	27093.5	27541.6	27985.6	28423.3	28853.1	29273.9	29684.9	30085.6	30475.7	30855	31223.7	31582.4	31931.8	32273.5	32609.1	32940.8	33271.4	33603.9	33941.8	34289	34649.8	35028.8	35430.4	35857.6	36311.2	36787.4	37277.6	37769.4	38250.3	38710.4	39143.8	39547.9	39922.1	40267.1	40583.8	40873.9	41139.3	41382.1	41604.9	41810.3	42000.9	42179	42346.9	42506.4	42659.6	42807.8
0.18	47023.3	47023.3	47023.3	47023.3	47023.3	47023.2	47022.6	47020.3	47014.5	47002.8	46982.7	46951.3	46905	46838.7	46743.7	46602.8	46374.6	45914.5	44157	41386.1	40284.9	39595.3	39057	38592.7	38169.2	37769	37381	36997.1	36610	36212.8	35798	35357.3	34882.3	34366.3	33807.9	33216.4	32612.3	32020	31455.5	30923.2	30419.9	29940.1	29478.5	29031.2	28595	28167.6	27746.8	27330.6	26916.9	26503.5	26088.1	25668.3	25242	24807.3	24363.5	23911.2	23452.4	22990.4	22529	22071.8	21621.9	21181.2	20751.5	20334	19930.4	19542.2	19171.4	18819.6	18488.5	18178.7	17889.6	17620	17368.5	17133.3	16916.6	16757.9	16737.3	16960.9	17485.9	18164	18801.5	19358.1	19858.7	20326	20772.4	21204.5	21626	22039.7	22447.6	22852	23254.8	23658.4	24065.2	24477.2	24896.2	25323.4	25758.9	26201.4	26648.7	27098	27545.9	27989.8	28427.3	28857.1	29277.8	29688.9	30089.7	30480	30859.5	31228.5	31587.5	31937.4	32279.4	32615.5	32947.9	33279.1	33612.3	33951	34299	34660.9	35040.9	35443.4	35871.5	36325.5	36801.8	37291.5	37782.5	38262.4	38721.6	39154.3	39557.8	39931.6	40276.3	40592.9	40882.8	41148.1	41390.9	41613.8	41819.2	42009.9	42188.2	42356.3	42516.2	42669.7	42818.5
0.36	47023.3	47023.3	47023.3	47023.3	47023.3	47023.2	47022.4	47019.6	47013	47000.1	46978.2	46944.4	46894.8	46823.7	46721.1	46566.3	46306.2	45735.4	43715.2	41328.5	40262.2	39580.1	39044.6	38581.6	38158.6	37758.5	37370.3	36985.9	36598.2	36200.3	35784.6	35343	34867.2	34350.9	33792.9	33202.7	32600.7	32010.5	31447.8	30916.9	30414.5	29935.3	29474.2	29027.1	28591	28163.6	27742.8	27326.5	26912.7	26499.2	26083.7	25663.7	25237.2	24802.5	24358.7	23906.6	23448	22986.2	22525.1	22068.2	21618.4	21177.9	20748.3	20330.8	19927.1	19538.8	19167.7	18815.7	18484.2	18174	17884.6	17614.6	17362.7	17127	16910.4	16754.3	16740.2	16972.5	17500.3	18174.6	18808.5	19363.1	19862.8	20329.5	20775.7	21207.7	21629.3	22043	22451.1	22855.6	23258.6	23662.5	24069.4	24481.6	24900.9	25328.2	25763.6	26206.1	26653.4	27102.4	27550.2	27993.9	28431.4	28861	29281.8	29692.9	30093.8	30484.3	30864	31233.3	31592.7	31942.9	32285.4	32622	32954.9	33286.8	33620.7	33960.2	34309.2	34671.9	35053	35456.5	35885.3	36339.9	36816.1	37305.4	37795.6	38274.6	38732.8	39164.7	39567.7	39941.1	40285.5	40601.9	40891.8	41157	41399.8	41622.7	41828.2	42019	42197.4	42365.8	42526	42680	42829.3
0.54	47023.3	47023.3	47023.3	47023.3	47023.3	47023.1	47022	47018.6	47010.7	46995.9	46971.5	46934.2	46879.7	46801.4	46687.1	46510	46195.9	45432.1	43265.1	41252.8	40230.9	39559	39027.4	38566	38143.7	37743.6	37355.1	36970.2	36581.7	36182.7	35765.8	35322.9	34846.1	34329.3	33771.9	33183.6	32584.5	31997.3	31437.1	30908	30407	29928.6	29468	29021.3	28585.4	28158.1	27737.2	27320.8	26906.8	26493.1	26077.4	25657.3	25230.6	24795.8	24352.1	23900	23441.7	22980.3	22519.6	22063	21613.6	21173.3	20743.8	20326.3	19922.5	19533.9	19162.5	18810.1	18478.2	18167.5	17877.5	17606.9	17354.4	17118.1	16901.7	16749.4	16744.7	16988.8	17520.3	18189.1	18818.1	19370.1	19868.4	20334.5	20780.3	21212.2	21633.8	22047.6	22455.9	22860.6	23264	23668.1	24075.4	24487.9	24907.4	25334.8	25770.3	26212.8	26659.9	27108.7	27556.3	27999.7	28437	28866.6	29287.3	29698.5	30099.6	30490.3	30870.4	31240.1	31599.9	31950.7	32293.9	32631.2	32964.9	33297.6	33632.5	33973.1	34323.4	34687.5	35070	35474.8	35904.8	36359.9	36836.2	37324.8	37813.9	38291.5	38748.5	39179.4	39581.6	39954.5	40298.5	40614.6	40904.4	41169.5	41412.3	41635.2	41840.8	42031.7	42210.5	42379.2	42539.9	42694.4	42844.5
0.72	47023.3	47023.3	47023.3	47023.3	47023.3	47023	47021.4	47017	47007.3	46989.9	46961.8	46919.5	46858.1	46769.2	46637.1	46424.6	46018.5	44957.2	42846.5	41160.2	40190.2	39531.3	39004.6	38545.4	38123.9	37723.9	37335	36949.2	36559.6	36159.2	35740.7	35296.2	34818.1	34300.7	33744.3	33158.6	32563.2	31979.9	31423	30896.4	30397	29919.8	29459.9	29013.6	28578	28150.7	27729.8	27313.2	26899.1	26485.1	26069.1	25648.7	25221.8	24786.9	24343.2	23891.4	23433.4	22972.5	22512.3	22056.2	21607.2	21167.2	20737.8	20320.3	19916.3	19527.5	19155.6	18802.7	18470.1	18158.7	17868	17596.7	17343.3	17106.2	16890.1	16743.3	16751.1	17010.6	17546.4	18208.2	18830.8	19379.4	19875.9	20341.1	20786.5	21218.2	21639.8	22053.8	22462.3	22867.3	23271.1	23675.6	24083.3	24496.2	24916	25343.6	25779.2	26221.6	26668.5	27117	27564.3	28007.5	28444.5	28873.9	29294.7	29706	30107.3	30498.3	30878.8	31249.1	31609.5	31961.1	32305.1	32643.3	32978.1	33312	33648.3	33990.4	34342.3	34708.2	35092.6	35499.1	35930.5	36386.5	36862.8	37350.5	37838	38313.9	38769.3	39198.8	39600	39972.2	40315.7	40631.6	40921.1	41186.2	41428.9	41651.8	41857.6	42048.8	42227.9	42397.1	42558.4	42713.8	42865
0.9	47023.3	47023.3	47023.3	47023.3	47023.2	47022.7	47020.5	47014.6	47002.5	46981.5	46948.4	46899.3	46828.1	46724	46565.2	46296.2	45735.4	44341.9	42475.3	41054.1	40140.5	39496.9	38976.1	38519.5	38099	37699.1	37309.7	36922.9	36531.8	36129.7	35709.2	35262.7	34783	34265.1	33709.8	33127.4	32536.7	31958.3	31405.4	30881.8	30384.5	29908.7	29449.7	29004	28568.6	28141.4	27720.4	27303.7	26889.3	26475	26058.6	25637.9	25210.7	24775.7	24332.1	23880.5	23423	22962.7	22503.1	22047.7	21599.2	21159.6	20730.3	20312.8	19908.6	19519.4	19147	18793.3	18460	18147.7	17856	17583.7	17329.3	17091.1	16875.6	16736	16760	17038.2	17578.5	18231.7	18846.5	19390.9	19885.3	20349.4	20794.2	21225.7	21647.3	22061.5	22470.3	22875.8	23280	23685.1	24093.3	24506.6	24926.8	25354.7	25790.4	26232.6	26679.3	27127.5	27574.3	28017.1	28453.9	28883.2	29303.9	29715.3	30116.9	30508.4	30889.5	31260.4	31621.7	31974.1	32319.2	32658.7	32994.8	33330.3	33668.3	34012.3	34366.3	34734.5	35121.1	35529.8	35963	36419.9	36896	37382.6	37868.2	38341.9	38795.3	39223.1	39623.1	39994.4	40337.4	40652.9	40942.2	41207.2	41449.9	41672.9	41878.9	42070.4	42250	42419.9	42582.1	42738.6	42891.2
1.08	47023.3	47023.3	47023.3	47023.3	47023.2	47022.3	47019	47011	46995.6	46969.9	46930.2	46871.9	46787.1	46661.3	46462.1	46101.9	45298.8	43709.7	42149.4	40938.1	40082.4	39455.9	38941.9	38488.2	38068.9	37669	37278.9	36890.8	36498.1	36093.8	35670.9	35222.1	34740.6	34222.3	33668.7	33090.3	32505.2	31932.5	31384.4	30864.3	30369.5	29895.4	29437.5	28992.3	28557.3	28130.2	27709.1	27292.2	26877.4	26462.7	26045.9	25624.8	25197.4	24762.2	24318.7	23867.4	23410.5	22950.9	22492.1	22037.4	21589.5	21150.3	20721.2	20303.7	19899.3	19509.5	19136.5	18782	18447.6	18134.3	17841.4	17567.8	17312.2	17072.7	16858.1	16728	16772	17071.7	17616.3	18259.5	18865.2	19404.7	19896.6	20359.4	20803.6	21234.8	21656.4	22070.9	22480.1	22886	23290.8	23696.5	24105.3	24519.2	24939.9	25368.1	25803.8	26246	26692.3	27140.1	27586.4	28028.8	28465.3	28894.4	29315.1	29726.7	30128.6	30520.6	30902.4	31274.1	31636.4	31990.1	32336.4	32677.4	33015.1	33352.5	33692.6	34038.9	34395.4	34766.4	35155.7	35567.1	36002.2	36460.1	36936	37421.1	37904.4	38375.6	38826.6	39252.5	39651	40021.4	40363.7	40678.8	40968	41232.8	41475.6	41698.7	41904.9	42096.9	42277.1	42447.8	42611.2	42769.1	42923.6
1.26	47023.3	47023.3	47023.3	47023.3	47023.1	47021.6	47016.8	47005.9	46986.1	46954.1	46905.7	46835.1	46731.6	46574.1	46312.6	45804.4	44702.7	43152.8	41861.4	40815.4	40016.4	39408.4	38902	38451.6	38033.5	37633.6	37242.6	36853	36458.2	36051.5	35625.9	35174.5	34691.1	34172.4	33621.1	33047.5	32468.9	31902.6	31360	30844	30352	29879.8	29423.1	28978.7	28544.1	28117.1	27695.9	27278.7	26863.5	26448.3	26031	25609.5	25181.7	24746.4	24303	23852.1	23395.8	22937.1	22479.2	22025.4	21578.2	21139.4	20710.6	20293.1	19888.3	19497.9	19124.1	18768.5	18433	18118.3	17824	17548.9	17291.8	17050.7	16837.7	16719.6	16787.7	17111.2	17659.5	18291.2	18886.9	19420.8	19909.8	20371.1	20814.5	21245.5	21667.2	22081.9	22491.5	22898.1	23303.5	23710	24119.5	24534.1	24955.2	25383.8	25819.6	26261.6	26707.5	27154.8	27600.6	28042.5	28478.6	28907.5	29328.2	29740	30142.4	30534.9	30917.6	31290.4	31653.8	32008.9	32356.8	32699.5	33039.3	33378.8	33721.4	34070.5	34430	34804.1	35196.7	35610.9	36048.2	36507.2	36982.7	37466	37946.6	38414.9	38863.1	39286.9	39683.8	40053.1	40394.7	40709.4	40998.4	41263.2	41506	41729.3	41935.9	42128.5	42309.5	42481.3	42646	42805.8	42962.6
1.44	47023.3	47023.3	47023.3	47023.3	47022.8	47020.4	47013.4	46998.6	46973	46932.7	46872.9	46785.6	46655.7	46451.2	46091.1	45359.3	44042.6	42686.7	41603.9	40688.5	39943.5	39354.7	38856.4	38409.5	37992.7	37592.7	37200.7	36809.3	36412.1	36002.6	35573.9	35119.7	34634.4	34115.7	33567.1	32999.2	32427.8	31868.9	31332.4	30820.9	30332.1	29861.9	29406.6	28963.1	28528.9	28102	27680.6	27263.1	26847.5	26431.8	26013.9	25591.8	25163.7	24728.2	24284.9	23834.5	23379	22921.3	22464.5	22011.6	21565.2	21127	20698.4	20280.8	19875.6	19484.6	19109.7	18753	18416	18099.8	17803.8	17526.9	17268	17025	16814.3	16711.6	16807.9	17156.6	17707.4	18326.6	18911.3	19439	19924.8	20384.4	20827.1	21257.7	21679.5	22094.5	22504.7	22912	23318.2	23725.5	24135.8	24551.2	24972.9	25401.8	25837.8	26279.5	26725.1	27171.7	27616.9	28058.2	28493.9	28922.6	29343.3	29755.4	30158.2	30551.5	30935.1	31309.1	31674	32030.6	32380.4	32725.2	33067.2	33409.4	33754.8	34107.1	34470.1	34847.9	35244.1	35661.5	36101.2	36561.1	37036	37517.1	37994.7	38459.7	38905	39326.4	39721.5	40089.6	40430.6	40744.9	41033.6	41298.4	41541.3	41765	41972.1	42165.4	42347.4	42520.6	42687.1	42849.2	43008.9
1.62	47023.3	47023.3	47023.3	47023.2	47022.4	47018.5	47008.2	46988.2	46954.9	46903.9	46828.9	46718.6	46550.7	46274.2	45759.1	44762	43435.6	42296.1	41370.6	40559.1	39864.3	39295	38805.2	38362.1	37946.5	37546.3	37152.9	36759.5	36359.6	35946.9	35514.9	35057.7	34570.6	34052.4	33507.2	32945.7	32382.4	31831.4	31301.5	30795	30309.6	29841.9	29388.1	28945.4	28511.7	28084.9	27663.4	27245.5	26829.3	26413	25994.5	25571.9	25143.4	24707.7	24264.6	23814.8	23360.1	22903.5	22447.8	21996.1	21550.6	21112.9	20684.6	20266.8	19861.2	19469.4	19093.4	18735.2	18396.7	18078.6	17780.6	17501.6	17240.5	16995.4	16788.2	16704.5	16833.2	17207.9	17759.7	18365.4	18938.4	19459.4	19941.7	20399.5	20841.2	21271.6	21693.4	22108.8	22519.7	22927.7	23334.8	23743.1	24154.3	24570.5	24992.9	25422.2	25858.3	26299.8	26744.8	27190.8	27635.3	28076	28511.2	28939.6	29360.4	29772.7	30176.2	30570.4	30955.1	31330.5	31697	32055.5	32407.4	32754.5	33099.3	33444.4	33793.2	34149.1	34516	34897.9	35298	35718.9	36161	36621.8	37095.7	37574.4	38048.6	38509.9	38952	39370.9	39764.2	40131.1	40471.4	40785.3	41074	41338.8	41581.9	41806	42013.8	42208	42391.3	42566.2	42735	42899.9	43063.4
