t(s)	cell#0
0	-0
1000	0.000369
2000	0.000369
3000	0.000369
4000	0.000369
5000	0.000369
6000	0.000369
7000	0.000369
8000	0.000369
9000	0.000369
10000	0.000369
11000	0.000369
12000	0.000369
13000	0.000369
14000	0.000369
15000	0.000369
16000	0.000369
17000	0.000369
18000	0.000369
19000	0.000369
20000	0.000369
21000	0.000369
22000	0.000369
23000	0.000369
24000	0.000369
25000	0.000369
26000	0.000369
27000	0.000369
28000	0.000369
29000	0.000369
30000	0.000369
31000	0.000369
32000	0.000369
33000	0.000369
34000	0.000369
35000	0.000369
36000	0.000369
37000	0.000369
38000	0.000369
39000	0.000369
40000	0.000369
41000	0.000369
42000	0.000369
43000	0.000369
44000	0.000369
45000	0.000369
46000	0.000369
47000	0.000369
48000	0.000369
49000	0.000369
50000	0.000369
51000	0.000369
52000	0.000369
53000	0.000369
54000	0.000369
55000	0.000369
56000	0.000369
57000	0.000369
58000	0.000369
59000	0.000369
60000	0.000369
61000	0.000369
62000	0.000369
63000	0.000369
64000	0.000369
65000	0.000369
66000	0.000369
67000	0.000369
68000	0.000369
69000	0.000369
70000	0.000369
71000	0.000369
72000	0.000369
73000	-0.000369
74000	-0.000369
75000	-0.000369
76000	-0.000369
77000	-0.000369
78000	-0.000369
79000	-0.000369
80000	-0.000369
81000	-0.000369
82000	-0.000369
83000	-0.000369
84000	-0.000369
85000	-0.000369
86000	-0.000369
87000	-0.000369
88000	-0.000369
89000	-0.000369
90000	-0.000369
91000	-0.000369
92000	-0.000369
93000	-0.000369
94000	-0.000369
95000	-0.000369
96000	-0.000369
97000	-0.000369
98000	-0.000369
99000	-0.000369
100000	-0.000369
101000	-0.000369
102000	-0.000369
103000	-0.000369
104000	-0.000369
105000	-0.000369
106000	-0.000369
107000	-0.000369
108000	-0.000369
109000	-0.000369
110000	-0.000369
111000	-0.000369
112000	-0.000369
113000	-0.000369
114000	-0.000369
115000	-0.000369
116000	-0.000369
117000	-0.000369
118000	-0.000369
119000	-0.000369
120000	-0.000369
121000	-0.000369
122000	-0.000369
123000	-0.000369
124000	-0.000369
125000	-0.000369
126000	-0.000369
127000	-0.000369
128000	-0.000369
129000	-0.000369
130000	-0.000369
131000	-0.000369
132000	-0.000369
133000	-0.000369
134000	-0.000369
135000	-0.000369
136000	-0.000369
137000	-0.000369
138000	-0.000369
139000	-0.000369
140000	-0.000369
141000	-0.000369
142000	-0.000369
143000	-0.000369
144000	-0.000369
