x	t=0	t=1000	t=2000	t=3000	t=4000	t=5000	t=6000	t=7000	t=8000	t=9000	t=10000	t=11000	t=12000	t=13000	t=14000	t=15000	t=16000	t=17000	t=18000	t=19000	t=20000	t=21000	t=22000	t=23000	t=24000	t=25000	t=26000	t=27000	t=28000	t=29000	t=30000	t=31000	t=32000	t=33000	t=34000	t=35000	t=36000	t=37000	t=38000	t=39000	t=40000	t=41000	t=42000	t=43000	t=44000	t=45000	t=46000	t=47000	t=48000	t=49000	t=50000	t=51000	t=52000	t=53000	t=54000	t=55000	t=56000	t=57000	t=58000	t=59000	t=60000	t=61000	t=62000	t=63000	t=64000	t=65000	t=66000	t=67000	t=68000	t=69000	t=70000	t=71000	t=72000	t=73000	t=74000	t=75000	t=76000	t=77000	t=78000	t=79000	t=80000	t=81000	t=82000	t=83000	t=84000	t=85000	t=86000	t=87000	t=88000	t=89000	t=90000	t=91000	t=92000	t=93000	t=94000	t=95000	t=96000	t=97000	t=98000	t=99000	t=100000	t=101000	t=102000	t=103000	t=104000	t=105000	t=106000	t=107000	t=108000	t=109000	t=110000	t=111000	t=112000	t=113000	t=114000	t=115000	t=116000	t=117000	t=118000	t=119000	t=120000	t=121000	t=122000	t=123000	t=124000	t=125000	t=126000	t=127000	t=128000	t=129000	t=130000	t=131000	t=132000	t=133000	t=134000	t=135000	t=136000	t=137000	t=138000	t=139000	t=140000	t=141000	t=142000	t=143000	t=144000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.000344828	0	3.35356e-14	3.35356e-14	3.35356e-14	3.35356e-14	3.35356e-14	3.35356e-14	3.35356e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35354e-14	3.35354e-14	3.35354e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35355e-14	3.35356e-14	3.35357e-14	3.35357e-14	3.35353e-14	3.35353e-14	3.35354e-14	3.35354e-14	-3.36818e-14	-3.36825e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36828e-14	-3.36828e-14	-3.36828e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36828e-14	-3.36828e-14	-3.36828e-14	-3.36828e-14	-3.36827e-14	-3.36827e-14	-3.36826e-14	-3.36826e-14	-3.36826e-14	-3.36826e-14	-3.36826e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14	-3.36827e-14
0.000689655	0	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34142e-13	1.34143e-13	1.34143e-13	1.34141e-13	1.34141e-13	1.34141e-13	1.34142e-13	-1.34727e-13	-1.3473e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.3473e-13	-1.3473e-13	-1.3473e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13	-1.34731e-13
0.00103448	0	3.0182e-13	3.0182e-13	3.0182e-13	3.0182e-13	3.0182e-13	3.0182e-13	3.0182e-13	3.0182e-13	3.0182e-13	3.0182e-13	3.0182e-13	3.0182e-13	3.0182e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.0182e-13	3.0182e-13	3.0182e-13	3.0182e-13	3.0182e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.01819e-13	3.0182e-13	3.0182e-13	3.0182e-13	3.01821e-13	3.01821e-13	3.01818e-13	3.01817e-13	3.01818e-13	3.01819e-13	-3.03136e-13	-3.03143e-13	-3.03144e-13	-3.03145e-13	-3.03145e-13	-3.03145e-13	-3.03145e-13	-3.03145e-13	-3.03145e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03145e-13	-3.03145e-13	-3.03145e-13	-3.03145e-13	-3.03145e-13	-3.03145e-13	-3.03145e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03143e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03144e-13	-3.03145e-13
0.00137931	0	5.3657e-13	5.36569e-13	5.36569e-13	5.36569e-13	5.36569e-13	5.36569e-13	5.36569e-13	5.36569e-13	5.36569e-13	5.36568e-13	5.36568e-13	5.36568e-13	5.36568e-13	5.36568e-13	5.36568e-13	5.36568e-13	5.36567e-13	5.36567e-13	5.36567e-13	5.36567e-13	5.36567e-13	5.36567e-13	5.36567e-13	5.36568e-13	5.36568e-13	5.36568e-13	5.36568e-13	5.36568e-13	5.36568e-13	5.36568e-13	5.36568e-13	5.36568e-13	5.36568e-13	5.36567e-13	5.36567e-13	5.36567e-13	5.36567e-13	5.36567e-13	5.36567e-13	5.36567e-13	5.36567e-13	5.36568e-13	5.36568e-13	5.36568e-13	5.36568e-13	5.36568e-13	5.36568e-13	5.36568e-13	5.36568e-13	5.36568e-13	5.36568e-13	5.36568e-13	5.36568e-13	5.36568e-13	5.36568e-13	5.36567e-13	5.36567e-13	5.36567e-13	5.36567e-13	5.36567e-13	5.36568e-13	5.36568e-13	5.36568e-13	5.36568e-13	5.36568e-13	5.36569e-13	5.36571e-13	5.36571e-13	5.36565e-13	5.36564e-13	5.36566e-13	5.36567e-13	-5.38909e-13	-5.3892e-13	-5.38923e-13	-5.38924e-13	-5.38924e-13	-5.38924e-13	-5.38924e-13	-5.38924e-13	-5.38924e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38923e-13	-5.38924e-13	-5.38924e-13	-5.38924e-13	-5.38924e-13	-5.38924e-13	-5.38924e-13	-5.38924e-13	-5.38923e-13	-5.38923e-13	-5.38922e-13	-5.38922e-13	-5.38922e-13	-5.38922e-13	-5.38922e-13	-5.38922e-13	-5.38923e-13	-5.38923e-13	-5.38924e-13
0.00172414	0	8.3839e-13	8.3839e-13	8.3839e-13	8.38389e-13	8.38389e-13	8.38389e-13	8.38389e-13	8.38389e-13	8.38388e-13	8.38388e-13	8.38388e-13	8.38388e-13	8.38387e-13	8.38387e-13	8.38387e-13	8.38387e-13	8.38387e-13	8.38386e-13	8.38386e-13	8.38386e-13	8.38386e-13	8.38386e-13	8.38387e-13	8.38387e-13	8.38387e-13	8.38387e-13	8.38387e-13	8.38387e-13	8.38387e-13	8.38387e-13	8.38387e-13	8.38387e-13	8.38387e-13	8.38387e-13	8.38386e-13	8.38386e-13	8.38386e-13	8.38386e-13	8.38386e-13	8.38386e-13	8.38387e-13	8.38387e-13	8.38387e-13	8.38387e-13	8.38387e-13	8.38388e-13	8.38388e-13	8.38388e-13	8.38388e-13	8.38388e-13	8.38387e-13	8.38387e-13	8.38387e-13	8.38387e-13	8.38387e-13	8.38387e-13	8.38387e-13	8.38387e-13	8.38387e-13	8.38387e-13	8.38387e-13	8.38387e-13	8.38387e-13	8.38388e-13	8.38388e-13	8.3839e-13	8.38392e-13	8.38392e-13	8.38382e-13	8.38382e-13	8.38384e-13	8.38385e-13	-8.42045e-13	-8.42063e-13	-8.42067e-13	-8.42068e-13	-8.42069e-13	-8.42069e-13	-8.42069e-13	-8.42069e-13	-8.42068e-13	-8.42068e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42068e-13	-8.42068e-13	-8.42068e-13	-8.42068e-13	-8.42068e-13	-8.42068e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42067e-13	-8.42068e-13	-8.42068e-13	-8.42068e-13	-8.42068e-13	-8.42068e-13	-8.42069e-13	-8.42069e-13	-8.42069e-13	-8.42069e-13	-8.42068e-13	-8.42067e-13	-8.42066e-13	-8.42065e-13	-8.42065e-13	-8.42065e-13	-8.42066e-13	-8.42066e-13	-8.42067e-13	-8.42068e-13	-8.42069e-13
0.00206897	0	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20728e-12	1.20727e-12	1.20727e-12	1.20727e-12	1.20727e-12	-1.21255e-12	-1.21257e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21257e-12	-1.21257e-12	-1.21257e-12	-1.21257e-12	-1.21257e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12	-1.21258e-12
0.00241379	0	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64324e-12	1.64325e-12	1.64325e-12	1.64323e-12	1.64323e-12	1.64323e-12	1.64323e-12	-1.65041e-12	-1.65044e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65046e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12	-1.65045e-12
0.00275862	0	2.14628e-12	2.14628e-12	2.14628e-12	2.14628e-12	2.14628e-12	2.14628e-12	2.14628e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14627e-12	2.14628e-12	2.14628e-12	2.14628e-12	2.14626e-12	2.14626e-12	2.14626e-12	2.14627e-12	-2.15564e-12	-2.15568e-12	-2.15569e-12	-2.15569e-12	-2.1557e-12	-2.1557e-12	-2.1557e-12	-2.1557e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.1557e-12	-2.1557e-12	-2.1557e-12	-2.1557e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.15569e-12	-2.1557e-12
0.00310345	0	2.71638e-12	2.71638e-12	2.71638e-12	2.71638e-12	2.71638e-12	2.71638e-12	2.71638e-12	2.71638e-12	2.71638e-12	2.71638e-12	2.71638e-12	2.71638e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71638e-12	2.71638e-12	2.71638e-12	2.71638e-12	2.71638e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71637e-12	2.71638e-12	2.71638e-12	2.71638e-12	2.71639e-12	2.71639e-12	2.71636e-12	2.71636e-12	2.71636e-12	2.71637e-12	-2.72823e-12	-2.72828e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12	-2.72829e-12	-2.72829e-12	-2.72829e-12	-2.72829e-12	-2.72829e-12	-2.72829e-12	-2.7283e-12	-2.7283e-12	-2.7283e-12
