r(x_rel=0)	t=0	t=1000	t=2000	t=3000	t=4000	t=5000	t=6000	t=7000	t=8000	t=9000	t=10000	t=11000	t=12000	t=13000	t=14000	t=15000	t=16000	t=17000	t=18000	t=19000	t=20000	t=21000	t=22000	t=23000	t=24000	t=25000	t=26000	t=27000	t=28000	t=29000	t=30000	t=31000	t=32000	t=33000	t=34000	t=34135
0	2e+06	2.03382e+06	2.06764e+06	2.10146e+06	2.13528e+06	2.16911e+06	2.20293e+06	2.23675e+06	2.27057e+06	2.30439e+06	2.33821e+06	2.37203e+06	2.40585e+06	2.43967e+06	2.4735e+06	2.50732e+06	2.54114e+06	2.57496e+06	2.60878e+06	2.6426e+06	2.67642e+06	2.71024e+06	2.74406e+06	2.77789e+06	2.81171e+06	2.84553e+06	2.87935e+06	2.91317e+06	2.94699e+06	2.98081e+06	3.01463e+06	3.04845e+06	3.08228e+06	3.1161e+06	3.14992e+06	3.15448e+06
34.4828	2e+06	2.03382e+06	2.06764e+06	2.10146e+06	2.13528e+06	2.16911e+06	2.20293e+06	2.23675e+06	2.27057e+06	2.30439e+06	2.33821e+06	2.37203e+06	2.40585e+06	2.43967e+06	2.4735e+06	2.50732e+06	2.54114e+06	2.57496e+06	2.60878e+06	2.6426e+06	2.67642e+06	2.71024e+06	2.74406e+06	2.77789e+06	2.81171e+06	2.84553e+06	2.87935e+06	2.91317e+06	2.94699e+06	2.98081e+06	3.01463e+06	3.04845e+06	3.08228e+06	3.1161e+06	3.14992e+06	3.15448e+06
68.9655	2e+06	2.03382e+06	2.06764e+06	2.10146e+06	2.13528e+06	2.16911e+06	2.20293e+06	2.23675e+06	2.27057e+06	2.30439e+06	2.33821e+06	2.37203e+06	2.40585e+06	2.43967e+06	2.4735e+06	2.50732e+06	2.54114e+06	2.57496e+06	2.60878e+06	2.6426e+06	2.67642e+06	2.71024e+06	2.74406e+06	2.77789e+06	2.81171e+06	2.84553e+06	2.87935e+06	2.91317e+06	2.94699e+06	2.98081e+06	3.01463e+06	3.04845e+06	3.08228e+06	3.1161e+06	3.14992e+06	3.15448e+06
103.448	2e+06	2.03382e+06	2.06764e+06	2.10146e+06	2.13528e+06	2.16911e+06	2.20293e+06	2.23675e+06	2.27057e+06	2.30439e+06	2.33821e+06	2.37203e+06	2.40585e+06	2.43967e+06	2.4735e+06	2.50732e+06	2.54114e+06	2.57496e+06	2.60878e+06	2.6426e+06	2.67642e+06	2.71024e+06	2.74406e+06	2.77789e+06	2.81171e+06	2.84553e+06	2.87935e+06	2.91317e+06	2.94699e+06	2.98081e+06	3.01463e+06	3.04845e+06	3.08228e+06	3.1161e+06	3.14992e+06	3.15448e+06
137.931	2e+06	2.03382e+06	2.06764e+06	2.10146e+06	2.13528e+06	2.16911e+06	2.20293e+06	2.23675e+06	2.27057e+06	2.30439e+06	2.33821e+06	2.37203e+06	2.40585e+06	2.43967e+06	2.4735e+06	2.50732e+06	2.54114e+06	2.57496e+06	2.60878e+06	2.6426e+06	2.67642e+06	2.71024e+06	2.74406e+06	2.77789e+06	2.81171e+06	2.84553e+06	2.87935e+06	2.91317e+06	2.94699e+06	2.98081e+06	3.01463e+06	3.04845e+06	3.08228e+06	3.1161e+06	3.14992e+06	3.15448e+06
172.414	2e+06	2.03382e+06	2.06764e+06	2.10146e+06	2.13528e+06	2.16911e+06	2.20293e+06	2.23675e+06	2.27057e+06	2.30439e+06	2.33821e+06	2.37203e+06	2.40585e+06	2.43967e+06	2.4735e+06	2.50732e+06	2.54114e+06	2.57496e+06	2.60878e+06	2.6426e+06	2.67642e+06	2.71024e+06	2.74406e+06	2.77789e+06	2.81171e+06	2.84553e+06	2.87935e+06	2.91317e+06	2.94699e+06	2.98081e+06	3.01463e+06	3.04845e+06	3.08228e+06	3.1161e+06	3.14992e+06	3.15448e+06
206.897	2e+06	2.03382e+06	2.06764e+06	2.10146e+06	2.13528e+06	2.16911e+06	2.20293e+06	2.23675e+06	2.27057e+06	2.30439e+06	2.33821e+06	2.37203e+06	2.40585e+06	2.43967e+06	2.4735e+06	2.50732e+06	2.54114e+06	2.57496e+06	2.60878e+06	2.6426e+06	2.67642e+06	2.71024e+06	2.74406e+06	2.77789e+06	2.81171e+06	2.84553e+06	2.87935e+06	2.91317e+06	2.94699e+06	2.98081e+06	3.01463e+06	3.04845e+06	3.08228e+06	3.1161e+06	3.14992e+06	3.15448e+06
241.379	2e+06	2.03382e+06	2.06764e+06	2.10146e+06	2.13528e+06	2.16911e+06	2.20293e+06	2.23675e+06	2.27057e+06	2.30439e+06	2.33821e+06	2.37203e+06	2.40585e+06	2.43967e+06	2.4735e+06	2.50732e+06	2.54114e+06	2.57496e+06	2.60878e+06	2.6426e+06	2.67642e+06	2.71024e+06	2.74406e+06	2.77789e+06	2.81171e+06	2.84553e+06	2.87935e+06	2.91317e+06	2.94699e+06	2.98081e+06	3.01463e+06	3.04845e+06	3.08228e+06	3.1161e+06	3.14992e+06	3.15448e+06
275.862	2e+06	2.03382e+06	2.06764e+06	2.10146e+06	2.13528e+06	2.16911e+06	2.20293e+06	2.23675e+06	2.27057e+06	2.30439e+06	2.33821e+06	2.37203e+06	2.40585e+06	2.43967e+06	2.4735e+06	2.50732e+06	2.54114e+06	2.57496e+06	2.60878e+06	2.6426e+06	2.67642e+06	2.71024e+06	2.74406e+06	2.77789e+06	2.81171e+06	2.84553e+06	2.87935e+06	2.91317e+06	2.94699e+06	2.98081e+06	3.01463e+06	3.04845e+06	3.08228e+06	3.1161e+06	3.14992e+06	3.15448e+06
310.345	2e+06	2.03382e+06	2.06764e+06	2.10146e+06	2.13528e+06	2.16911e+06	2.20293e+06	2.23675e+06	2.27057e+06	2.30439e+06	2.33821e+06	2.37203e+06	2.40585e+06	2.43967e+06	2.4735e+06	2.50732e+06	2.54114e+06	2.57496e+06	2.60878e+06	2.6426e+06	2.67642e+06	2.71024e+06	2.74406e+06	2.77789e+06	2.81171e+06	2.84553e+06	2.87935e+06	2.91317e+06	2.94699e+06	2.98081e+06	3.01463e+06	3.04845e+06	3.08228e+06	3.1161e+06	3.14992e+06	3.15448e+06
