r(x_rel=0.25)	t=0	t=1000	t=2000	t=3000	t=4000	t=5000	t=6000	t=7000	t=8000	t=9000	t=10000	t=11000	t=12000	t=13000	t=14000	t=15000	t=16000	t=17000	t=18000	t=19000	t=20000	t=21000	t=22000	t=23000	t=24000	t=25000	t=26000	t=27000	t=28000	t=29000	t=30000	t=31000	t=32000	t=33000	t=34000	t=34135
0	47023.3	47023.3	47023.3	47023.3	47023.3	47023.2	47022.3	47017.9	47004.2	46968.5	46880.8	46645	42618.1	39398.5	38276.5	37406.2	36580.1	35675.1	34534.8	33007.3	31406.1	30144.2	29135.1	28251	27427.3	26625.9	25814.4	24960.5	24040.4	23063.1	22084.3	21164.9	20333.9	19599.8	18965.8	18887.8
0.18	47023.3	47023.3	47023.3	47023.3	47023.3	47023.1	47021.8	47016.4	46999.9	46957.6	46851.5	46531.2	42132.6	39363.3	38252.3	37383	36554.5	35643.7	34495.7	32971.5	31386.4	30132.6	29126.3	28243.1	27419.4	26617.6	25805.4	24950.8	24030.5	23054	22076.6	21158.3	20327.7	19593.7	18959.4	18881.4
0.36	47023.3	47023.3	47023.3	47023.3	47023.3	47023	47021.3	47014.6	46995.2	46945.6	46818.5	46383.1	41803.4	39328.6	38228.1	37359.8	36528.7	35612.1	34456.8	32936.2	31366.8	30121	29117.6	28235.2	27411.5	26609.3	25796.4	24941.1	24020.6	23044.9	22068.8	21151.7	20321.6	19587.5	18953	18874.9
0.54	47023.3	47023.3	47023.3	47023.3	47023.3	47022.9	47020.5	47011.9	46987.7	46926.5	46763.2	46065.2	41482	39280.6	38194.2	37327.2	36492.4	35567.8	34402.5	32887.6	31339.7	30105	29105.3	28224.1	27400.5	26597.6	25783.8	24927.5	24006.8	23032.2	22058.1	21142.5	20313	19578.9	18944	18865.8
0.72	47023.3	47023.3	47023.3	47023.3	47023.3	47022.6	47019.2	47007.5	46976	46896.3	46668.5	45340.2	41175.6	39218.1	38149.2	37283.8	36443.9	35508.5	34330.8	32824.8	31304.4	30083.8	29089.1	28209.5	27385.8	26582.2	25767	24909.5	23988.5	23015.4	22043.8	21130.2	20301.6	19567.5	18931.9	18853.6
0.9	47023.3	47023.3	47023.3	47023.3	47023.2	47022.1	47017	47000.7	46958.1	46848.6	46499.7	44150.4	40888.1	39141.4	38092.8	37228.7	36382.3	35433.4	34241.5	32748.1	31261	30057.5	29068.8	28191	27367.4	26562.7	25745.9	24886.9	23965.6	22994.4	22026	21114.8	20287.2	19553	18916.7	18838.3
1.08	47023.3	47023.3	47023.3	47023.3	47023.1	47021.2	47013.4	46990.3	46930.8	46772.2	46171.9	43079.4	40618.7	39050.9	38024.7	37161.7	36307	35342	34134.8	32658.8	31209.8	30026	29044.4	28168.8	27345	26539	25720.3	24859.5	23937.9	22969.2	22004.5	21096.2	20269.9	19535.5	18898.2	18819.6
1.26	47023.3	47023.3	47023.3	47023.3	47022.9	47019.7	47007.8	46974.3	46888.6	46644.8	45494.4	42312.3	40364.5	38947.6	37944.6	37082.2	36217.3	35233.6	34011.8	32558.3	31151.5	29989.5	29015.9	28142.6	27318.8	26511.2	25690.2	24827.4	23905.7	22939.7	21979.4	21074.5	20249.5	19514.7	18876.2	18797.5
1.44	47023.3	47023.3	47023.3	47023.3	47022.4	47017.1	46998.8	46949.6	46822.1	46417.2	44377.6	41736.8	40122.6	38832	37852.5	36989.8	36112.5	35108.2	33873.4	32448.3	31086.6	29948.1	28983.2	28112.6	27288.5	26479.2	25655.6	24790.5	23868.7	22906.1	21950.8	21049.6	20225.9	19490.8	18850.8	18771.8
1.62	47023.3	47023.3	47023.3	47023.2	47021.5	47012.7	46984.7	46911.3	46713.6	45974.9	43294.7	41275.1	39890.1	38704.9	37748	36883.7	35992.1	34965.5	33721.5	32330.4	31015.8	29902	28946.5	28078.6	27254.2	26442.8	25616.3	24748.8	23827.2	22868.5	21918.7	21021.5	20199.3	19463.5	18821.6	18742.3
