r(x_rel=1)	t=0	t=1000	t=2000	t=3000	t=4000	t=5000	t=6000	t=7000	t=8000	t=9000	t=10000	t=11000	t=12000	t=13000	t=14000	t=15000	t=16000	t=17000	t=18000	t=19000	t=20000	t=21000	t=22000	t=23000	t=24000	t=25000	t=26000	t=27000	t=28000	t=29000	t=30000	t=31000	t=32000	t=33000	t=34000	t=34135
0	47023.3	47023.3	47023.3	47023.3	47023.3	47023.2	47022.3	47018	47004.5	46969.6	46884.3	46657	43101.1	39447.1	38308.7	37434.3	36608.8	35708.6	34579.1	33061	31448	30171.5	29154.5	28266.9	27442	26641.1	25831	24979	24060.7	23083.7	22102.9	21180.4	20346.7	19611.2	18977.4	18899.5
0.18	47023.3	47023.3	47023.3	47023.3	47023.3	47023.1	47021.8	47016.5	47000.3	46959	46856	46549.8	42399.5	39411.1	38284.3	37411.2	36583.3	35677.5	34540.2	33024.6	31427.7	30159.7	29145.7	28259	27434.2	26632.8	25822	24969.4	24050.8	23074.6	22095.1	21173.8	20340.6	19605.1	18971	18893.1
0.36	47023.3	47023.3	47023.3	47023.3	47023.3	47023	47021.4	47014.8	46995.7	46947.3	46824.2	46411.9	41988.4	39375.4	38260	37388	36557.7	35646.2	34501.4	32988.8	31407.7	30148	29136.9	28251	27426.3	26624.5	25813	24959.7	24040.9	23065.5	22087.3	21167.1	20334.4	19599	18964.6	18886.6
0.54	47023.3	47023.3	47023.3	47023.3	47023.3	47022.9	47020.6	47012.1	46988.4	46928.7	46771	46121.5	41616.5	39326.4	38225.9	37355.4	36521.6	35602.2	34447.3	32939.5	31380	30131.7	29124.5	28239.9	27415.3	26612.9	25800.4	24946.1	24027.1	23052.7	22076.5	21157.8	20325.8	19590.4	18955.6	18877.6
0.72	47023.3	47023.3	47023.3	47023.3	47023.3	47022.6	47019.2	47007.8	46977	46899.4	46680.5	45459	41277.9	39262.5	38180.7	37312	36473.3	35543.3	34375.8	32875.7	31343.9	30110.3	29108.2	28225.2	27400.6	26597.4	25783.7	24928.1	24008.8	23035.9	22062.2	21145.5	20314.4	19578.9	18943.7	18865.5
0.9	47023.3	47023.3	47023.3	47023.3	47023.2	47022.1	47017.1	47001.1	46959.5	46853.2	46520.3	44302.6	40969.3	39184.2	38124.1	37257.1	36412	35468.8	34286.6	32797.8	31299.6	30083.6	29087.8	28206.8	27382.2	26578	25762.6	24905.5	23985.9	23014.8	22044.2	21130.1	20300	19564.5	18928.5	18850.3
1.08	47023.3	47023.3	47023.3	47023.3	47023.1	47021.3	47013.6	46990.9	46932.9	46779.5	46212.8	43194.5	40685.4	39092.1	38055.6	37190.2	36337.1	35378	34180.1	32707.1	31247.3	30051.7	29063.3	28184.5	27359.9	26554.4	25737.1	24878.2	23958.2	22989.4	22022.7	21111.4	20282.6	19547	18910.1	18831.7
1.26	47023.3	47023.3	47023.3	47023.3	47022.9	47019.7	47008	46975.2	46891.8	46657.2	45578.1	42396.6	40421.1	38987	37975.3	37110.9	36247.9	35270.3	34056.9	32605.1	31187.8	30014.7	29034.6	28158.3	27333.6	26526.6	25707.1	24846.1	23925.9	22959.9	21997.5	21089.6	20262.2	19526.3	18888.3	18809.8
1.44	47023.3	47023.3	47023.3	47023.3	47022.4	47017.2	46999.2	46951.1	46827.3	46440.4	44491.5	41802.4	40171.7	38869.7	37882.9	37018.7	36143.8	35145.5	33918.4	32493.3	31121.7	29972.8	29001.7	28128.2	27303.4	26494.7	25672.5	24809.3	23888.9	22926.2	21968.7	21064.6	20238.7	19502.4	18863	18784.2
1.62	47023.3	47023.3	47023.3	47023.2	47021.5	47012.8	46985.4	46913.7	46722.5	46022.3	43386.9	41328.8	39933.7	38740.9	37778.2	36912.9	36024	35003.6	33766	32373.5	31049.5	29926.2	28964.8	28094.2	27269.1	26458.3	25633.3	24767.7	23847.4	22888.4	21936.4	21036.4	20212	19475.2	18834.1	18755
1.8	47023.3	47023.3	47023.3	47023.1	47019.9	47005.6	46963.5	46854.7	46542.7	45213.3	42559.7	40930.4	39703.7	38601.2	37660.9	36793.1	35887.9	34844.7	33601.7	32247.4	30972.1	29875	28923.8	28056.2	27230.7	26417.7	25589.5	24721.3	23801.3	22846.6	21900.7	21005	20182.2	19444.5	18801.3	18721.9
1.98	47023.3	47023.3	47023.3	47022.7	47016.8	46993.6	46928.8	46759	46210.9	44084.7	41935.8	40581.2	39479.3	38450.9	37530.7	36658.3	35735	34669.4	33427.8	32116.4	30889.9	29819.6	28878.9	28014.3	27188.2	26372.5	25540.9	24670.1	23750.8	22800.9	21861.5	20970.5	20149.1	19410.3	18764.5	18684.7
2.16	47023.3	47023.3	47023.3	47021.9	47011.3	46973.9	46873.3	46596.9	45567.9	43102.4	41435.8	40265.7	39258.2	38290.1	37387	36508	35564.6	34479.1	33246.6	31982	30803.7	29760	28829.9	27968.3	27141.4	26322.9	25487.5	24614.2	23695.9	22751.5	21819	20932.7	20112.7	19372.5	18723.5	18643.2
2.34	47023.3	47023.3	47023.2	47020.2	47001.5	46941.7	46782.5	46303.9	44531.4	42364.7	41013.8	39973.3	39038.3	38118.6	37229.1	36341.2	35376.9	34275.4	33060.6	31845.3	30713.9	29696.5	28777.1	27918.4	27090.4	26268.6	25429.4	24553.6	23636.9	22698.5	21773.3	20891.9	20073	19330.8	18678	18597.1
2.52	47023.3	47023.3	47023.1	47016.8	46984.6	46888.9	46628.6	45743.5	43477.5	41789.4	40643.1	39697	38817.9	37936.1	37056.4	36157.2	35172	34060.8	32871.9	31707.5	30621.2	29629.3	28720.4	27864.4	27035	26209.6	25366.4	24488.4	23573.8	22641.9	21724.3	20847.8	20029.8	19285.1	18627.7	18546
2.7	47023.3	47023.3	47022.6	47010	46955.5	46801.1	46352.4	44788.1	42662.2	41315.1	40307.4	39431.3	38595	37742	36868	35955.4	34950.9	33838.1	32682.7	31569.1	30525.8	29558.6	28659.9	27806.2	26975.2	26145.9	25298.5	24418.6	23506.7	22582.1	21672.3	20800.6	19983.1	19235.1	18572.2	18489.6
2.88	47023.3	47023.3	47021.4	46997	46906	46650.6	45828.2	43714.9	42033.7	40906	39995.9	39172.3	38368	37535.5	36663	35735.6	34715.3	33610.3	32494.6	31431	30428.1	29484.4	28595.5	27744	26910.8	26077.4	25225.8	24344.3	23435.9	22519	21617.2	20750.2	19932.7	19180.6	18510.9	18427.4
3.06	47023.3	47023.3	47018.4	46972.8	46821	46379.1	44916.6	42854	41522.9	40540.4	39700.8	38916.3	38135	37315.5	36440.6	35498	34467.8	33380.5	32308.9	31293.6	30328.5	29407	28527.4	27677.4	26841.7	26003.9	25148.1	24265.7	23361.5	22452.8	21559.2	20696.6	19878.5	19121.2	18443.4	18358.6
3.24	47023.3	47023.3	47011.3	46928.8	46672.1	45863.2	43841.7	42191.7	41087.2	40204.8	39416.6	38660.4	37894.3	37081.1	36200.2	35243.7	34211.7	33151.4	32126.6	31157.3	30227.2	29326.5	28455.4	27606.6	26767.9	25925.4	25065.7	24182.9	23283.7	22383.7	21498.2	20639.7	19820.2	19056.6	18368.8	18282.5
3.42	47023.3	47023.2	46995.5	46849.3	46398.9	44960.5	42958.5	41657.4	40701.2	39889.6	39138.7	38401.8	37643.9	36831	35941.6	34974.8	33950.5	32925.6	31948.4	31022.2	30124.4	29242.8	28379.6	27531.4	26689.3	25841.8	24978.3	24096.1	23202.8	22311.8	21434.4	20579.5	19757.8	18986.2	18286.3	18198
3.6	47023.3	47022.4	46962.7	46704	45873.4	43882.3	42278.4	41204.7	40349.1	39588	38863.1	38138	37382	36564.2	35665.2	34694.1	33688.3	32704.7	31774.6	30888.5	30020.2	29156.2	28299.9	27451.6	26605.6	25753	24886.3	24005.3	23118.8	22237.3	21367.8	20515.8	19690.9	18909.5	18194.6	18104
3.78	47023.3	47019.2	46896.3	46428.4	44949.9	42991.2	41731.4	40805.5	40020.1	39294.6	38586.7	37866.4	37106.5	36280	35372.8	34405.9	33428.5	32490.1	31605.4	30756.2	29914.7	29066.7	28216.3	27367.2	26516.8	25659	24789.5	23911	23032	22160.2	21298.3	20448.7	19619.1	18825.6	18092.2	17998.7
3.96	47023.3	47008.1	46764.3	45882.5	43858.2	42305	41269.1	40442.7	39706.4	39005.1	38306.2	37584.4	36815.9	35978.5	35067	34114.4	33174	32282.6	31440.8	30625.4	29808	28974.1	28128.7	27278.1	26422.8	25559.8	24688.3	23813.2	22942.6	22080.7	21226	20377.9	19542.1	18733.6	17977	17879.9
4.14	47023.3	46975.3	46496.3	44911	42965.7	41753.3	40862.4	40104.5	39402.1	38715.5	38018.5	37289.7	36508.7	35660.7	34752	33824.4	32927.3	32082.6	31280.8	30495.9	29700.2	28878.7	28037	27184.1	26323.3	25455.3	24582.6	23712.2	22850.8	21998.8	21151	20303.4	19459.4	18632.2	17846.3	17744.3
4.32	47023.3	46888.6	45931.6	43788	42280.1	41287.2	40493.2	39782.6	39102.5	38422.3	37720.8	36979.9	36184.4	35329.3	34432.8	33539.9	32689.6	31890	31125	30367.8	29591.1	28780.3	27941.1	27084.9	26218.4	25345.7	24472.9	23608.3	22756.8	21914.8	21073	20224.8	19370.3	18519.9	17695.8	17587.6
4.5	47023.3	46673	44880.4	42892.2	41728.7	40877	40149.3	39470.9	38803.2	38122.1	37410.1	36653.3	35843.8	34988.2	34114.8	33264.3	32461.8	31704.8	30973.3	30240.7	29480.8	28678.8	27840.8	26980.5	26107.8	25230.8	24359.2	23501.8	22660.8	21828.5	20992.3	20141.9	19274	18394.3	17519.8	17402.9
4.68	47023.3	46135.2	43688.5	42208.8	41262.2	40504.4	39822.3	39164.1	38500.4	37811.5	37083.7	36308.8	35489.1	34643.1	33803	32999.6	32244.2	31526.7	30825.4	30114.6	29369.1	28574.1	27736.1	26870.7	25991.5	25110.9	24241.9	23392.9	22562.9	21740.2	20908.5	20054.3	19169.7	18252.3	17309	17179.9
4.86	47023.3	44954.2	42774.9	41659.3	40851	40157.3	39505.5	38857.8	38190.3	37487.2	36739.3	35947	35124.6	34299.9	33501.7	32747.3	32036.6	31355.1	30680.9	29989.4	29256	28466.2	27626.7	26755.2	25869.3	24986.2	24121.2	23281.9	22463.3	21649.8	20821.7	19961.8	19055.8	18089.6	17048	16900.4
