SOC	Ueq_Anode	Ueq_Cathode	Ds_Anode	Ds_Cathode
0	0	4.67851	0.0001	2.44579e-17
0.01	0	4.67036	0.0001	2.26078e-16
0.02	0	4.66218	0.0001	3.25344e-16
0.03	0	4.65398	0.0001	2.89262e-16
0.04	0	4.64574	0.0001	2.6182e-16
0.05	0	4.63745	0.0001	2.65601e-16
0.06	0	4.62909	0.0001	2.87548e-16
0.07	0	4.62065	0.0001	3.09968e-16
0.08	0	4.61209	0.0001	3.18992e-16
0.09	0	4.60338	0.0001	3.11155e-16
0.1	0	4.59448	0.0001	2.92813e-16
0.11	0	4.58532	0.0001	2.73415e-16
0.12	0	4.57583	0.0001	2.60025e-16
0.13	0	4.5659	0.0001	2.56039e-16
0.14	0	4.55542	0.0001	2.62056e-16
0.15	0	4.54421	0.0001	2.76707e-16
0.16	0	4.53209	0.0001	2.96832e-16
0.17	0	4.5188	0.0001	3.17523e-16
0.18	0	4.50408	0.0001	3.32859e-16
0.19	0	4.48759	0.0001	3.37672e-16
0.2	0	4.46898	0.0001	3.29644e-16
0.21	0	4.44791	0.0001	3.10337e-16
0.22	0	4.42409	0.0001	2.84356e-16
0.23	0	4.39741	0.0001	2.57336e-16
0.24	0	4.36803	0.0001	2.3414e-16
0.25	0	4.3366	0.0001	2.18158e-16
0.26	0	4.3043	0.0001	2.11621e-16
0.27	0	4.27296	0.0001	2.16435e-16
0.28	0	4.24477	0.0001	2.35104e-16
0.29	0	4.22183	0.0001	2.71602e-16
0.3	0	4.20539	0.0001	3.32148e-16
0.31	0	4.19528	0.0001	4.25726e-16
0.32	0	4.18977	0.0001	5.63924e-16
0.33	0	4.18619	0.0001	7.59227e-16
0.34	0	4.18188	0.0001	1.02086e-15
0.35	0	4.17502	0.0001	1.34815e-15
0.36	0	4.16497	0.0001	1.72344e-15
0.37	0	4.15204	0.0001	2.10936e-15
0.38	0	4.13707	0.0001	2.45492e-15
0.39	0	4.12103	0.0001	2.7105e-15
0.4	0	4.10475	0.0001	2.84507e-15
0.41	0	4.0888	0.0001	2.85597e-15
0.42	0	4.07353	0.0001	2.76649e-15
0.43	0	4.05908	0.0001	2.61432e-15
0.44	0	4.04544	0.0001	2.43851e-15
0.45	0	4.03252	0.0001	2.27054e-15
0.46	0	4.02016	0.0001	2.13126e-15
0.47	0	4.00816	0.0001	2.03192e-15
0.48	0	3.99629	0.0001	1.97669e-15
0.49	0	3.98431	0.0001	1.96496e-15
0.5	0	3.97196	0.0001	1.99256e-15
0.51	0	3.95898	0.0001	2.05196e-15
0.52	0	3.94517	0.0001	2.1318e-15
0.53	0	3.93043	0.0001	2.21649e-15
0.54	0	3.91485	0.0001	2.28693e-15
0.55	0	3.8987	0.0001	2.32297e-15
0.56	0	3.88241	0.0001	2.30752e-15
0.57	0	3.8665	0.0001	2.23131e-15
0.58	0	3.8514	0.0001	2.09602e-15
0.59	0	3.83736	0.0001	1.91413e-15
0.6	0	3.82447	0.0001	1.70533e-15
0.61	0	3.81266	0.0001	1.49105e-15
0.62	0	3.80178	0.0001	1.28953e-15
0.63	0	3.79164	0.0001	1.11315e-15
0.64	0	3.78207	0.0001	9.68068e-16
0.65	0	3.77292	0.0001	8.55644e-16
0.66	0	3.76408	0.0001	7.74265e-16
0.67	0	3.75547	0.0001	7.20992e-16
0.68	0	3.74702	0.0001	6.92596e-16
0.69	0	3.73867	0.0001	6.85971e-16
0.7	0	3.7304	0.0001	6.98029e-16
0.71	0	3.72219	0.0001	7.25197e-16
0.72	0	3.71401	0.0001	7.62701e-16
0.73	0	3.70586	0.0001	8.03887e-16
0.74	0	3.69773	0.0001	8.40038e-16
0.75	0	3.68961	0.0001	8.61104e-16
0.76	0	3.6815	0.0001	8.57628e-16
0.77	0	3.6734	0.0001	8.23459e-16
0.78	0	3.6653	0.0001	7.58135e-16
0.79	0	3.65721	0.0001	6.67606e-16
0.8	0	3.64911	0.0001	5.62671e-16
0.81	0	3.64102	0.0001	4.55713e-16
0.82	0	3.63293	0.0001	3.57327e-16
0.83	0	3.62483	0.0001	2.74232e-16
0.84	0	3.61674	0.0001	2.08961e-16
0.85	0	3.60865	0.0001	1.60904e-16
0.86	0	3.60056	0.0001	1.27798e-16
0.87	0	3.59247	0.0001	1.07078e-16
0.88	0	3.58438	0.0001	9.6813e-17
0.89	0	3.57629	0.0001	9.63401e-17
0.9	0	3.5682	0.0001	1.06807e-16
0.91	0	3.56011	0.0001	1.31674e-16
0.92	0	3.55202	0.0001	1.76393e-16
0.93	0	3.54393	0.0001	2.44019e-16
0.94	0	3.53584	0.0001	3.21874e-16
0.95	0	3.52775	0.0001	3.67433e-16
0.96	0	3.51966	0.0001	3.3621e-16
0.97	0	3.51157	0.0001	2.53878e-16
0.98	0	3.50348	0.0001	2.13278e-16
0.99	0	3.49539	0.0001	4.71489e-16
