x	t=0	t=1000	t=2000	t=3000	t=4000	t=5000	t=6000	t=7000	t=8000	t=9000	t=10000	t=11000	t=12000	t=13000	t=14000	t=15000	t=16000	t=17000	t=18000	t=19000	t=20000	t=21000	t=22000	t=23000	t=24000	t=25000	t=26000	t=27000	t=28000	t=29000	t=30000	t=31000	t=32000	t=33000	t=34000	t=34135
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.000344828	0	6.69501e-14	6.695e-14	6.69498e-14	6.69497e-14	6.69496e-14	6.69495e-14	6.69494e-14	6.69494e-14	6.69493e-14	6.69493e-14	6.69494e-14	6.69494e-14	6.69494e-14	6.69494e-14	6.69494e-14	6.69493e-14	6.69493e-14	6.69492e-14	6.69491e-14	6.69491e-14	6.69492e-14	6.69493e-14	6.69494e-14	6.69495e-14	6.69495e-14	6.69494e-14	6.69494e-14	6.69493e-14	6.69493e-14	6.69493e-14	6.69493e-14	6.69495e-14	6.69503e-14	6.69481e-14	6.6948e-14
0.000689655	0	2.678e-13	2.678e-13	2.67799e-13	2.67799e-13	2.67798e-13	2.67798e-13	2.67798e-13	2.67797e-13	2.67797e-13	2.67797e-13	2.67797e-13	2.67798e-13	2.67798e-13	2.67798e-13	2.67797e-13	2.67797e-13	2.67797e-13	2.67797e-13	2.67797e-13	2.67797e-13	2.67797e-13	2.67797e-13	2.67798e-13	2.67798e-13	2.67798e-13	2.67798e-13	2.67797e-13	2.67797e-13	2.67797e-13	2.67797e-13	2.67797e-13	2.67798e-13	2.67801e-13	2.67792e-13	2.67792e-13
0.00103448	0	6.02551e-13	6.0255e-13	6.02548e-13	6.02547e-13	6.02546e-13	6.02545e-13	6.02545e-13	6.02544e-13	6.02544e-13	6.02544e-13	6.02544e-13	6.02545e-13	6.02545e-13	6.02545e-13	6.02544e-13	6.02544e-13	6.02543e-13	6.02543e-13	6.02542e-13	6.02542e-13	6.02543e-13	6.02544e-13	6.02545e-13	6.02545e-13	6.02545e-13	6.02545e-13	6.02544e-13	6.02544e-13	6.02543e-13	6.02543e-13	6.02544e-13	6.02546e-13	6.02553e-13	6.02533e-13	6.02532e-13
0.00137931	0	1.0712e-12	1.0712e-12	1.0712e-12	1.0712e-12	1.07119e-12	1.07119e-12	1.07119e-12	1.07119e-12	1.07119e-12	1.07119e-12	1.07119e-12	1.07119e-12	1.07119e-12	1.07119e-12	1.07119e-12	1.07119e-12	1.07119e-12	1.07119e-12	1.07119e-12	1.07119e-12	1.07119e-12	1.07119e-12	1.07119e-12	1.07119e-12	1.07119e-12	1.07119e-12	1.07119e-12	1.07119e-12	1.07119e-12	1.07119e-12	1.07119e-12	1.07119e-12	1.07121e-12	1.07117e-12	1.07117e-12
0.00172414	0	1.67375e-12	1.67375e-12	1.67375e-12	1.67374e-12	1.67374e-12	1.67374e-12	1.67374e-12	1.67373e-12	1.67373e-12	1.67373e-12	1.67373e-12	1.67373e-12	1.67374e-12	1.67373e-12	1.67373e-12	1.67373e-12	1.67373e-12	1.67373e-12	1.67373e-12	1.67373e-12	1.67373e-12	1.67373e-12	1.67374e-12	1.67374e-12	1.67374e-12	1.67374e-12	1.67373e-12	1.67373e-12	1.67373e-12	1.67373e-12	1.67373e-12	1.67374e-12	1.67376e-12	1.6737e-12	1.6737e-12
0.00206897	0	2.4102e-12	2.4102e-12	2.41019e-12	2.41019e-12	2.41019e-12	2.41018e-12	2.41018e-12	2.41018e-12	2.41018e-12	2.41018e-12	2.41018e-12	2.41018e-12	2.41018e-12	2.41018e-12	2.41018e-12	2.41017e-12	2.41017e-12	2.41017e-12	2.41017e-12	2.41017e-12	2.41017e-12	2.41018e-12	2.41018e-12	2.41018e-12	2.41018e-12	2.41018e-12	2.41018e-12	2.41017e-12	2.41017e-12	2.41017e-12	2.41018e-12	2.41018e-12	2.41021e-12	2.41013e-12	2.41013e-12
0.00241379	0	3.28055e-12	3.28055e-12	3.28054e-12	3.28053e-12	3.28053e-12	3.28052e-12	3.28052e-12	3.28052e-12	3.28052e-12	3.28052e-12	3.28052e-12	3.28052e-12	3.28052e-12	3.28052e-12	3.28052e-12	3.28052e-12	3.28051e-12	3.28051e-12	3.28051e-12	3.28051e-12	3.28051e-12	3.28052e-12	3.28052e-12	3.28052e-12	3.28052e-12	3.28052e-12	3.28052e-12	3.28052e-12	3.28051e-12	3.28051e-12	3.28052e-12	3.28053e-12	3.28057e-12	3.28046e-12	3.28045e-12
0.00275862	0	4.2848e-12	4.2848e-12	4.28479e-12	4.28478e-12	4.28477e-12	4.28477e-12	4.28476e-12	4.28476e-12	4.28476e-12	4.28476e-12	4.28476e-12	4.28476e-12	4.28476e-12	4.28476e-12	4.28476e-12	4.28476e-12	4.28475e-12	4.28475e-12	4.28474e-12	4.28474e-12	4.28475e-12	4.28476e-12	4.28476e-12	4.28477e-12	4.28477e-12	4.28476e-12	4.28476e-12	4.28475e-12	4.28475e-12	4.28475e-12	4.28476e-12	4.28477e-12	4.28482e-12	4.28468e-12	4.28467e-12
0.00310345	0	5.42296e-12	5.42294e-12	5.42293e-12	5.42292e-12	5.42292e-12	5.42291e-12	5.4229e-12	5.4229e-12	5.42289e-12	5.42289e-12	5.4229e-12	5.4229e-12	5.4229e-12	5.4229e-12	5.4229e-12	5.42289e-12	5.42289e-12	5.42288e-12	5.42288e-12	5.42288e-12	5.42288e-12	5.42289e-12	5.4229e-12	5.42291e-12	5.42291e-12	5.4229e-12	5.4229e-12	5.42289e-12	5.42289e-12	5.42289e-12	5.42289e-12	5.42291e-12	5.42298e-12	5.42279e-12	5.42279e-12
