x	t=0	t=1000	t=2000	t=3000	t=4000	t=5000	t=6000	t=7000	t=8000	t=9000	t=10000	t=11000	t=12000	t=13000	t=14000	t=15000	t=16000	t=17000	t=18000	t=19000	t=20000	t=21000	t=22000	t=23000	t=24000	t=25000	t=26000	t=27000	t=28000	t=29000	t=30000	t=31000	t=32000	t=33000	t=34000	t=34135
0	0	-3.77674e-05	-3.76729e-05	-3.75862e-05	-3.7507e-05	-3.74353e-05	-3.7371e-05	-3.73138e-05	-3.72637e-05	-3.72206e-05	-3.71845e-05	-3.71552e-05	-3.71327e-05	-3.71172e-05	-3.71085e-05	-3.71066e-05	-3.71116e-05	-3.71234e-05	-3.7142e-05	-3.71675e-05	-3.71997e-05	-3.72387e-05	-3.72846e-05	-3.73377e-05	-3.7398e-05	-3.74658e-05	-3.7541e-05	-3.76238e-05	-3.77143e-05	-3.78126e-05	-3.79188e-05	-3.80331e-05	-3.81554e-05	-3.82852e-05	-3.84304e-05	-3.84502e-05
0.000344828	0	-3.77674e-05	-3.76729e-05	-3.75862e-05	-3.7507e-05	-3.74353e-05	-3.7371e-05	-3.73138e-05	-3.72637e-05	-3.72206e-05	-3.71845e-05	-3.71552e-05	-3.71327e-05	-3.71172e-05	-3.71085e-05	-3.71066e-05	-3.71116e-05	-3.71234e-05	-3.7142e-05	-3.71675e-05	-3.71997e-05	-3.72387e-05	-3.72846e-05	-3.73377e-05	-3.7398e-05	-3.74658e-05	-3.7541e-05	-3.76238e-05	-3.77143e-05	-3.78126e-05	-3.79188e-05	-3.8033e-05	-3.81554e-05	-3.82852e-05	-3.84304e-05	-3.84502e-05
0.000689655	0	-3.77674e-05	-3.76729e-05	-3.75862e-05	-3.7507e-05	-3.74353e-05	-3.7371e-05	-3.73138e-05	-3.72637e-05	-3.72206e-05	-3.71845e-05	-3.71552e-05	-3.71327e-05	-3.71172e-05	-3.71085e-05	-3.71066e-05	-3.71116e-05	-3.71234e-05	-3.7142e-05	-3.71675e-05	-3.71997e-05	-3.72387e-05	-3.72846e-05	-3.73377e-05	-3.7398e-05	-3.74658e-05	-3.7541e-05	-3.76238e-05	-3.77143e-05	-3.78126e-05	-3.79188e-05	-3.8033e-05	-3.81554e-05	-3.82852e-05	-3.84304e-05	-3.84502e-05
0.00103448	0	-3.77674e-05	-3.76729e-05	-3.75862e-05	-3.7507e-05	-3.74353e-05	-3.7371e-05	-3.73138e-05	-3.72637e-05	-3.72206e-05	-3.71845e-05	-3.71552e-05	-3.71327e-05	-3.71172e-05	-3.71085e-05	-3.71066e-05	-3.71116e-05	-3.71234e-05	-3.7142e-05	-3.71675e-05	-3.71997e-05	-3.72387e-05	-3.72846e-05	-3.73377e-05	-3.7398e-05	-3.74658e-05	-3.7541e-05	-3.76238e-05	-3.77143e-05	-3.78126e-05	-3.79188e-05	-3.8033e-05	-3.81554e-05	-3.82852e-05	-3.84304e-05	-3.84502e-05
0.00137931	0	-3.77674e-05	-3.76729e-05	-3.75862e-05	-3.7507e-05	-3.74353e-05	-3.7371e-05	-3.73138e-05	-3.72637e-05	-3.72206e-05	-3.71845e-05	-3.71552e-05	-3.71327e-05	-3.71171e-05	-3.71084e-05	-3.71066e-05	-3.71116e-05	-3.71234e-05	-3.7142e-05	-3.71674e-05	-3.71997e-05	-3.72387e-05	-3.72846e-05	-3.73377e-05	-3.7398e-05	-3.74658e-05	-3.7541e-05	-3.76238e-05	-3.77143e-05	-3.78126e-05	-3.79188e-05	-3.8033e-05	-3.81554e-05	-3.82852e-05	-3.84304e-05	-3.84502e-05
0.00172414	0	-3.77674e-05	-3.76729e-05	-3.75861e-05	-3.7507e-05	-3.74353e-05	-3.73709e-05	-3.73138e-05	-3.72637e-05	-3.72206e-05	-3.71844e-05	-3.71551e-05	-3.71327e-05	-3.71171e-05	-3.71084e-05	-3.71066e-05	-3.71116e-05	-3.71234e-05	-3.7142e-05	-3.71674e-05	-3.71997e-05	-3.72387e-05	-3.72846e-05	-3.73376e-05	-3.7398e-05	-3.74658e-05	-3.7541e-05	-3.76238e-05	-3.77143e-05	-3.78126e-05	-3.79188e-05	-3.8033e-05	-3.81554e-05	-3.82852e-05	-3.84304e-05	-3.84502e-05
0.00206897	0	-3.77674e-05	-3.76729e-05	-3.75861e-05	-3.7507e-05	-3.74353e-05	-3.73709e-05	-3.73138e-05	-3.72637e-05	-3.72206e-05	-3.71844e-05	-3.71551e-05	-3.71327e-05	-3.71171e-05	-3.71084e-05	-3.71066e-05	-3.71116e-05	-3.71234e-05	-3.7142e-05	-3.71674e-05	-3.71997e-05	-3.72387e-05	-3.72846e-05	-3.73376e-05	-3.7398e-05	-3.74658e-05	-3.7541e-05	-3.76238e-05	-3.77143e-05	-3.78126e-05	-3.79188e-05	-3.8033e-05	-3.81554e-05	-3.82852e-05	-3.84304e-05	-3.84502e-05
0.00241379	0	-3.77673e-05	-3.76729e-05	-3.75861e-05	-3.7507e-05	-3.74353e-05	-3.73709e-05	-3.73138e-05	-3.72637e-05	-3.72206e-05	-3.71844e-05	-3.71551e-05	-3.71327e-05	-3.71171e-05	-3.71084e-05	-3.71066e-05	-3.71116e-05	-3.71234e-05	-3.7142e-05	-3.71674e-05	-3.71997e-05	-3.72387e-05	-3.72846e-05	-3.73376e-05	-3.7398e-05	-3.74657e-05	-3.7541e-05	-3.76238e-05	-3.77143e-05	-3.78126e-05	-3.79188e-05	-3.8033e-05	-3.81554e-05	-3.82852e-05	-3.84304e-05	-3.84502e-05
0.00275862	0	-3.77673e-05	-3.76729e-05	-3.75861e-05	-3.7507e-05	-3.74353e-05	-3.73709e-05	-3.73138e-05	-3.72637e-05	-3.72206e-05	-3.71844e-05	-3.71551e-05	-3.71327e-05	-3.71171e-05	-3.71084e-05	-3.71066e-05	-3.71116e-05	-3.71234e-05	-3.7142e-05	-3.71674e-05	-3.71997e-05	-3.72387e-05	-3.72846e-05	-3.73376e-05	-3.7398e-05	-3.74657e-05	-3.7541e-05	-3.76238e-05	-3.77143e-05	-3.78125e-05	-3.79187e-05	-3.8033e-05	-3.81554e-05	-3.82852e-05	-3.84304e-05	-3.84502e-05
0.00310345	0	-3.77673e-05	-3.76729e-05	-3.75861e-05	-3.7507e-05	-3.74353e-05	-3.73709e-05	-3.73138e-05	-3.72637e-05	-3.72206e-05	-3.71844e-05	-3.71551e-05	-3.71327e-05	-3.71171e-05	-3.71084e-05	-3.71066e-05	-3.71115e-05	-3.71234e-05	-3.7142e-05	-3.71674e-05	-3.71997e-05	-3.72387e-05	-3.72846e-05	-3.73376e-05	-3.7398e-05	-3.74657e-05	-3.7541e-05	-3.76238e-05	-3.77143e-05	-3.78125e-05	-3.79187e-05	-3.8033e-05	-3.81554e-05	-3.82852e-05	-3.84304e-05	-3.84502e-05
