t(s)	Capacity(Ah)	Voltage(V)
0	-0	3.56141
0.1	-2.05e-08	3.56517
0.3	-6.15e-08	3.56532
0.7	-1.435e-07	3.56556
1.5	-3.075e-07	3.56598
3.1	-6.355e-07	3.56672
6.3	-1.2915e-06	3.56804
12.7	-2.6035e-06	3.57033
25.5	-5.2275e-06	3.57421
38.3	-7.8515e-06	3.57749
51.1	-1.04755e-05	3.5804
63.9	-1.30995e-05	3.58304
76.7	-1.57235e-05	3.58547
89.5	-1.83475e-05	3.58774
102.3	-2.09715e-05	3.58986
115.1	-2.35955e-05	3.59186
127.9	-2.62195e-05	3.59374
140.7	-2.88435e-05	3.59552
147.1	-3.01555e-05	3.59637
153.5	-3.14675e-05	3.59721
159.9	-3.27795e-05	3.59801
166.3	-3.40915e-05	3.5988
172.7	-3.54035e-05	3.59957
179.1	-3.67155e-05	3.60031
185.5	-3.80275e-05	3.60104
191.9	-3.93395e-05	3.60174
198.3	-4.06515e-05	3.60243
204.7	-4.19635e-05	3.6031
211.1	-4.32755e-05	3.60375
217.5	-4.45875e-05	3.60438
223.9	-4.58995e-05	3.605
230.3	-4.72115e-05	3.6056
236.7	-4.85235e-05	3.60618
243.1	-4.98355e-05	3.60675
249.5	-5.11475e-05	3.6073
255.9	-5.24595e-05	3.60784
262.3	-5.37715e-05	3.60837
268.7	-5.50835e-05	3.60888
275.1	-5.63955e-05	3.60937
281.5	-5.77075e-05	3.60985
287.9	-5.90195e-05	3.61032
294.3	-6.03315e-05	3.61078
300.7	-6.16435e-05	3.61123
307.1	-6.29555e-05	3.61166
313.5	-6.42675e-05	3.61208
319.9	-6.55795e-05	3.6125
326.3	-6.68915e-05	3.6129
332.7	-6.82035e-05	3.61329
339.1	-6.95155e-05	3.61367
345.5	-7.08275e-05	3.61404
348.7	-7.14835e-05	3.61423
351.9	-7.21395e-05	3.61441
355.1	-7.27955e-05	3.61459
358.3	-7.34515e-05	3.61476
361.5	-7.41075e-05	3.61494
364.7	-7.47635e-05	3.61511
367.9	-7.54195e-05	3.61528
371.1	-7.60755e-05	3.61545
374.3	-7.67315e-05	3.61562
377.5	-7.73875e-05	3.61578
380.7	-7.80435e-05	3.61595
383.9	-7.86995e-05	3.61611
387.1	-7.93555e-05	3.61627
390.3	-8.00115e-05	3.61643
396.7	-8.13235e-05	3.61674
403.1	-8.26355e-05	3.61704
409.5	-8.39475e-05	3.61734
412.7	-8.46035e-05	3.61749
415.9	-8.52595e-05	3.61764
419.1	-8.59155e-05	3.61778
422.3	-8.65715e-05	3.61793
425.5	-8.72275e-05	3.61807
428.7	-8.78835e-05	3.61821
431.9	-8.85395e-05	3.61835
435.1	-8.91955e-05	3.61849
438.3	-8.98515e-05	3.61862
441.5	-9.05075e-05	3.61876
444.7	-9.11635e-05	3.6189
447.9	-9.18195e-05	3.61903
454.3	-9.31315e-05	3.61929
460.7	-9.44435e-05	3.61955
467.1	-9.57555e-05	3.61981
473.5	-9.70675e-05	3.62006
479.9	-9.83795e-05	3.62031
486.3	-9.96915e-05	3.62056
492.7	-0.000101003	3.6208
499.1	-0.000102315	3.62104
505.5	-0.000103627	3.62128
508.7	-0.000104283	3.6214
511.9	-0.000104939	3.62151
515.1	-0.000105595	3.62163
518.3	-0.000106251	3.62174
521.5	-0.000106907	3.62186
524.7	-0.000107563	3.62197
527.9	-0.000108219	3.62209
531.1	-0.000108875	3.6222
534.3	-0.000109531	3.62231
540.7	-0.000110843	3.62253
547.1	-0.000112155	3.62276
553.5	-0.000113467	3.62297
559.9	-0.000114779	3.62319
566.3	-0.000116091	3.6234
572.7	-0.000117403	3.62362
579.1	-0.000118715	3.62383
582.3	-0.000119371	3.62393
585.5	-0.000120027	3.62404
588.7	-0.000120683	3.62414
595.1	-0.000121995	3.62435
601.5	-0.000123307	3.62455
607.9	-0.000124619	3.62476
614.3	-0.000125931	3.62496
620.7	-0.000127243	3.62516
627.1	-0.000128555	3.62536
633.5	-0.000129867	3.62555
639.9	-0.000131179	3.62575
646.3	-0.000132491	3.62594
652.7	-0.000133803	3.62614
659.1	-0.000135115	3.62633
665.5	-0.000136427	3.62652
671.9	-0.000137739	3.62671
678.3	-0.000139051	3.6269
684.7	-0.000140363	3.62708
691.1	-0.000141675	3.62727
697.5	-0.000142987	3.62745
703.9	-0.000144299	3.62764
710.3	-0.000145611	3.62782
716.7	-0.000146923	3.628
723.1	-0.000148235	3.62818
729.5	-0.000149547	3.62836
735.9	-0.000150859	3.62854
742.3	-0.000152171	3.62871
748.7	-0.000153483	3.62889
755.1	-0.000154795	3.62907
761.5	-0.000156107	3.62924
767.9	-0.000157419	3.62941
774.3	-0.000158731	3.62958
780.7	-0.000160043	3.62975
787.1	-0.000161355	3.62992
793.5	-0.000162667	3.63009
799.9	-0.000163979	3.63026
806.3	-0.000165291	3.63042
812.7	-0.000166603	3.63059
819.1	-0.000167915	3.63075
825.5	-0.000169227	3.63092
831.9	-0.000170539	3.63108
838.3	-0.000171851	3.63124
844.7	-0.000173163	3.6314
851.1	-0.000174475	3.63156
857.5	-0.000175787	3.63172
863.9	-0.000177099	3.63188
867.1	-0.000177755	3.63195
870.3	-0.000178411	3.63203
873.5	-0.000179067	3.63211
879.9	-0.000180379	3.63226
886.3	-0.000181691	3.63242
889.5	-0.000182347	3.6325
892.7	-0.000183003	3.63257
895.9	-0.000183659	3.63265
902.3	-0.000184971	3.6328
908.7	-0.000186283	3.63295
911.9	-0.000186939	3.63303
915.1	-0.000187595	3.6331
918.3	-0.000188251	3.63317
921.5	-0.000188907	3.63325
924.7	-0.000189563	3.63332
931.1	-0.000190875	3.63347
934.3	-0.000191531	3.63354
937.5	-0.000192187	3.63362
940.7	-0.000192843	3.63369
943.9	-0.000193499	3.63376
947.1	-0.000194155	3.63384
953.5	-0.000195467	3.63398
959.9	-0.000196779	3.63413
966.3	-0.000198091	3.63427
972.7	-0.000199403	3.63441
979.1	-0.000200715	3.63455
985.5	-0.000202027	3.63469
991.9	-0.000203339	3.63483
998.3	-0.000204651	3.63497
1000	-0.000205	3.63501
1006.4	-0.000206312	3.63515
1012.8	-0.000207624	3.63529
1019.2	-0.000208936	3.63542
1025.6	-0.000210248	3.63556
1028.8	-0.000210904	3.63563
1032	-0.00021156	3.63569
1035.2	-0.000212216	3.63576
1038.4	-0.000212872	3.63583
1044.8	-0.000214184	3.63596
1051.2	-0.000215496	3.6361
1057.6	-0.000216808	3.63623
1064	-0.00021812	3.63636
1070.4	-0.000219432	3.63649
1076.8	-0.000220744	3.63662
1083.2	-0.000222056	3.63675
1089.6	-0.000223368	3.63688
1096	-0.00022468	3.63701
1099.2	-0.000225336	3.63707
1102.4	-0.000225992	3.63714
1108.8	-0.000227304	3.63727
1115.2	-0.000228616	3.63739
1121.6	-0.000229928	3.63752
1128	-0.00023124	3.63765
1134.4	-0.000232552	3.63777
1140.8	-0.000233864	3.6379
1147.2	-0.000235176	3.63802
1153.6	-0.000236488	3.63814
1160	-0.0002378	3.63827
1166.4	-0.000239112	3.63839
1169.6	-0.000239768	3.63845
1172.8	-0.000240424	3.63851
1176	-0.00024108	3.63857
1182.4	-0.000242392	3.63869
1188.8	-0.000243704	3.63882
1195.2	-0.000245016	3.63894
1201.6	-0.000246328	3.63906
1208	-0.00024764	3.63918
1214.4	-0.000248952	3.63929
1220.8	-0.000250264	3.63941
1227.2	-0.000251576	3.63953
1233.6	-0.000252888	3.63965
1240	-0.0002542	3.63977
1243.2	-0.000254856	3.63983
1246.4	-0.000255512	3.63988
1249.6	-0.000256168	3.63994
1252.8	-0.000256824	3.64
1259.2	-0.000258136	3.64012
1265.6	-0.000259448	3.64023
1272	-0.00026076	3.64035
1278.4	-0.000262072	3.64046
1284.8	-0.000263384	3.64058
1291.2	-0.000264696	3.64069
1297.6	-0.000266008	3.6408
1304	-0.00026732	3.64092
1310.4	-0.000268632	3.64103
1313.6	-0.000269288	3.64109
1316.8	-0.000269944	3.64114
1320	-0.0002706	3.6412
1323.2	-0.000271256	3.64126
1326.4	-0.000271912	3.64131
1332.8	-0.000273224	3.64142
1339.2	-0.000274536	3.64153
1345.6	-0.000275848	3.64164
1352	-0.00027716	3.64175
1358.4	-0.000278472	3.64186
1364.8	-0.000279784	3.64197
1371.2	-0.000281096	3.64208
1377.6	-0.000282408	3.64219
1384	-0.00028372	3.6423
1390.4	-0.000285032	3.64241
1396.8	-0.000286344	3.64252
1403.2	-0.000287656	3.64263
1409.6	-0.000288968	3.64273
1416	-0.00029028	3.64284
1422.4	-0.000291592	3.64295
1428.8	-0.000292904	3.64305
1435.2	-0.000294216	3.64316
1441.6	-0.000295528	3.64326
1448	-0.00029684	3.64337
1454.4	-0.000298152	3.64347
1460.8	-0.000299464	3.64358
1467.2	-0.000300776	3.64368
1473.6	-0.000302088	3.64379
1480	-0.0003034	3.64389
1483.2	-0.000304056	3.64394
1486.4	-0.000304712	3.64399
1492.8	-0.000306024	3.6441
1499.2	-0.000307336	3.6442
1505.6	-0.000308648	3.6443
1508.8	-0.000309304	3.64435
1512	-0.00030996	3.6444
1515.2	-0.000310616	3.64445
1518.4	-0.000311272	3.6445
1524.8	-0.000312584	3.64461
1531.2	-0.000313896	3.64471
1534.4	-0.000314552	3.64476
1537.6	-0.000315208	3.64481
1540.8	-0.000315864	3.64486
1547.2	-0.000317176	3.64496
1553.6	-0.000318488	3.64506
1560	-0.0003198	3.64516
1566.4	-0.000321112	3.64526
1572.8	-0.000322424	3.64536
1579.2	-0.000323736	3.64546
1585.6	-0.000325048	3.64555
1592	-0.00032636	3.64565
1598.4	-0.000327672	3.64575
1604.8	-0.000328984	3.64585
1608	-0.00032964	3.6459
1611.2	-0.000330296	3.64595
1617.6	-0.000331608	3.64604
1624	-0.00033292	3.64614
1630.4	-0.000334232	3.64624
1636.8	-0.000335544	3.64633
1643.2	-0.000336856	3.64643
1649.6	-0.000338168	3.64653
1656	-0.00033948	3.64662
1662.4	-0.000340792	3.64672
1668.8	-0.000342104	3.64681
1672	-0.00034276	3.64686
1675.2	-0.000343416	3.64691
1681.6	-0.000344728	3.647
1688	-0.00034604	3.6471
1694.4	-0.000347352	3.64719
1700.8	-0.000348664	3.64728
1707.2	-0.000349976	3.64738
1713.6	-0.000351288	3.64747
1720	-0.0003526	3.64756
1726.4	-0.000353912	3.64766
1732.8	-0.000355224	3.64775
1739.2	-0.000356536	3.64784
1745.6	-0.000357848	3.64793
1752	-0.00035916	3.64803
1758.4	-0.000360472	3.64812
1764.8	-0.000361784	3.64821
1771.2	-0.000363096	3.6483
1777.6	-0.000364408	3.64839
1784	-0.00036572	3.64848
1790.4	-0.000367032	3.64857
1796.8	-0.000368344	3.64867
1803.2	-0.000369656	3.64876
1809.6	-0.000370968	3.64885
1816	-0.00037228	3.64894
1822.4	-0.000373592	3.64903
1828.8	-0.000374904	3.64912
1835.2	-0.000376216	3.64921
1841.6	-0.000377528	3.64929
1848	-0.00037884	3.64938
1854.4	-0.000380152	3.64947
1860.8	-0.000381464	3.64956
1867.2	-0.000382776	3.64965
1873.6	-0.000384088	3.64974
1880	-0.0003854	3.64983
1886.4	-0.000386712	3.64991
1892.8	-0.000388024	3.65
1899.2	-0.000389336	3.65009
1905.6	-0.000390648	3.65018
1912	-0.00039196	3.65026
1915.2	-0.000392616	3.65031
1921.6	-0.000393928	3.65039
1928	-0.00039524	3.65048
1934.4	-0.000396552	3.65057
1937.6	-0.000397208	3.65061
1940.8	-0.000397864	3.65065
1944	-0.00039852	3.6507
1950.4	-0.000399832	3.65078
1956.8	-0.000401144	3.65087
1963.2	-0.000402456	3.65095
1969.6	-0.000403768	3.65104
1976	-0.00040508	3.65113
1982.4	-0.000406392	3.65121
1988.8	-0.000407704	3.6513
1995.2	-0.000409016	3.65138
2000	-0.00041	3.65144
2006.4	-0.000411312	3.65153
2012.8	-0.000412624	3.65161
2019.2	-0.000413936	3.6517
2025.6	-0.000415248	3.65178
2032	-0.00041656	3.65187
2038.4	-0.000417872	3.65195
2044.8	-0.000419184	3.65203
2048	-0.00041984	3.65208
2051.2	-0.000420496	3.65212
2054.4	-0.000421152	3.65216
2057.6	-0.000421808	3.6522
2064	-0.00042312	3.65228
2070.4	-0.000424432	3.65237
2076.8	-0.000425744	3.65245
2080	-0.0004264	3.65249
2086.4	-0.000427712	3.65257
2092.8	-0.000429024	3.65266
2096	-0.00042968	3.6527
2102.4	-0.000430992	3.65278
2108.8	-0.000432304	3.65286
2115.2	-0.000433616	3.65294
2121.6	-0.000434928	3.65303
2124.8	-0.000435584	3.65307
2128	-0.00043624	3.65311
2134.4	-0.000437552	3.65319
2140.8	-0.000438864	3.65327
2147.2	-0.000440176	3.65335
2153.6	-0.000441488	3.65343
2160	-0.0004428	3.65351
2166.4	-0.000444112	3.65359
