t(s)	cell#0
0	-0
1000	-5.07473e-27
2000	1.27085e-27
3000	1.39666e-26
4000	-3.30792e-26
5000	-7.29178e-26
6000	-1.62189e-26
7000	5.94118e-28
8000	1.28448e-24
9000	4.32759e-27
10000	3.69463e-27
11000	6.97783e-28
12000	-1.01082e-26
13000	-1.38891e-27
14000	1.62926e-28
15000	0.000780187
16000	-1.49437e-27
17000	-2.71353e-27
18000	-1.98343e-26
19000	1.21222e-27
20000	3.52847e-26
21000	-4.42489e-27
22000	-4.73418e-28
23000	-1.45244e-25
24000	-6.07569e-27
25000	-1.70564e-27
26000	2.61962e-29
27000	-3.58456e-25
28000	-1.61476e-27
29000	-4.34811e-27
30000	0.000780122
31000	2.05676e-26
32000	-2.07424e-26
33000	6.94201e-27
34000	-8.07403e-28
35000	-6.06899e-27
36000	-1.08129e-26
37000	-2.65109e-27
38000	9.71453e-26
39000	-4.83609e-27
40000	-4.60135e-28
41000	-7.04364e-31
42000	-3.68564e-27
43000	7.66467e-27
44000	3.41614e-27
45000	0.000780167
46000	9.44476e-28
47000	-3.61211e-27
48000	-4.50997e-28
49000	-5.52389e-28
50000	-4.82195e-27
51000	3.03773e-27
52000	-5.91467e-31
53000	-3.40504e-25
54000	-7.15774e-28
55000	-9.9623e-27
56000	-3.62921e-28
57000	2.58243e-26
58000	2.40809e-27
59000	4.79658e-28
60000	0.000780148
61000	-2.12444e-26
62000	5.90826e-27
63000	1.17799e-27
64000	-6.01149e-28
65000	8.72904e-27
66000	-4.35581e-28
67000	2.0467e-28
68000	-2.35857e-25
69000	-3.41515e-28
70000	4.28302e-27
71000	-5.00035e-28
72000	8.01869e-27
73000	-1.17071e-26
74000	-5.51734e-27
75000	0.000780198
76000	9.97276e-28
77000	1.5774e-27
78000	6.92831e-28
79000	9.39651e-29
80000	1.1625e-26
81000	-1.13588e-27
82000	-1.93435e-27
83000	-1.71788e-25
84000	3.68068e-27
85000	-3.8438e-28
86000	-1.03781e-27
87000	-1.87034e-26
88000	7.67498e-28
89000	-1.59309e-28
90000	1.98476e-08
91000	-4.08958e-27
92000	-1.70988e-28
93000	-9.54495e-28
94000	1.81431e-27
95000	-1.31486e-26
96000	5.29561e-28
97000	-1.08265e-29
98000	-1.07704e-26
99000	-3.00598e-27
100000	2.73938e-29
101000	-1.29933e-28
102000	-2.93362e-28
103000	-9.81412e-27
104000	4.75912e-28
105000	3.28011e-08
106000	8.87634e-27
107000	7.985e-28
108000	-6.70034e-28
109000	6.00171e-27
110000	4.60728e-27
111000	-1.07808e-28
112000	-7.14401e-28
113000	1.04261e-27
114000	1.72622e-27
115000	2.14906e-27
116000	-1.91746e-28
117000	5.4192e-26
118000	2.44749e-27
119000	4.84319e-28
120000	1.67507e-08
121000	4.25264e-27
122000	3.12876e-28
123000	3.73437e-29
124000	-5.76572e-25
125000	1.09527e-28
126000	-4.37151e-28
127000	-1.04875e-30
128000	-3.68857e-27
129000	-3.10341e-28
130000	-1.33309e-28
131000	-5.32759e-30
132000	5.48138e-27
133000	-1.75136e-28
134000	3.51035e-28
135000	3.00591e-08
136000	-6.22641e-27
137000	6.4529e-29
138000	3.02248e-28
139000	2.55364e-25
140000	3.13269e-28
141000	2.34589e-29
142000	-4.20629e-30
143000	1.08404e-26
144000	-8.31947e-29
145000	-4.26672e-28
146000	2.05779e-29
147000	1.81174e-27
148000	-1.48987e-28
149000	1.09847e-28
150000	1.51617e-08
151000	1.24021e-29
152000	4.75075e-29
153000	-9.3322e-31
154000	1.14094e-25
155000	1.79262e-27
156000	4.10438e-29
157000	6.68346e-29
158000	-9.51385e-27
159000	1.27527e-28
160000	-6.87641e-29
161000	8.79366e-30
162000	2.84833e-27
163000	-1.04434e-28
164000	-2.39016e-29
165000	1.55238e-08
166000	-1.98845e-28
167000	-4.06302e-29
168000	6.23024e-29
169000	2.90245e-25
170000	5.34782e-28
171000	2.93099e-28
172000	2.62562e-31
173000	2.70682e-26
174000	-4.96321e-28
175000	6.54848e-30
176000	-1.72574e-25
177000	1.22817e-28
178000	1.10321e-28
179000	1.2843e-30
180000	1.6748e-08
181000	4.47284e-28
182000	-1.33511e-29
183000	1.42188e-30
184000	-3.20463e-25
185000	-1.7116e-28
186000	4.55427e-29
187000	-1.12722e-25
